t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,77.50,272.50,1.000,1,2400.1,-3269.1,-507.6,3634.6,0.00,0.00,230,230,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-2,-0.0,-0.03,1.000,1.000,0.00,0,0,0,39.1,180.0,180.0,230.9,0.00,0,0.0,-0.0
0.10,climb,77.50,272.50,1.000,1,2400.1,-3269.1,-507.6,3634.6,0.00,0.00,230,230,-1,0.0,0.0,-0.0,-0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-4,-0.0,-0.09,1.000,1.000,0.00,0,0,0,39.1,180.0,180.0,230.9,0.00,0,0.0,-0.0
0.20,climb,77.50,272.50,1.000,1,2400.1,-3269.1,-507.6,3634.6,0.00,0.00,230,230,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-8,0.0,-0.15,1.000,1.000,0.00,0,0,0,39.1,180.0,180.0,230.9,0.00,0,-0.1,0.0
0.30,climb,77.51,272.49,1.000,1,2400.1,-3269.1,-507.6,3634.6,0.00,0.00,230,230,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-11,-0.6,-0.21,1.000,1.000,0.04,0,0,0,39.1,180.0,180.0,230.9,0.00,0,-0.6,0.2
0.40,climb,77.57,272.43,1.000,1,2400.1,-3269.1,-507.6,3634.6,0.00,0.00,230,230,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-13,-0.6,-0.26,1.000,1.000,0.36,0,0,0,39.2,180.0,179.9,230.8,0.00,0,-0.6,0.2
0.50,climb,77.77,272.23,1.000,1,2400.1,-3269.1,-507.6,3634.6,0.00,0.00,230,230,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-16,-1.9,-0.29,1.000,1.000,1.55,0,0,0,39.2,180.0,179.9,230.8,0.00,0,-0.5,0.1
0.60,climb,78.20,271.80,1.000,1,2400.1,-3269.1,-507.6,3634.6,0.00,0.00,230,230,-1,0.0,0.0,-0.2,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-19,-5.5,-0.28,1.000,1.000,3.59,0,0,0,39.2,180.0,179.9,230.8,0.00,0,-0.9,0.2
0.70,climb,78.92,271.08,1.000,1,2400.1,-3269.1,-507.6,3634.6,0.00,0.09,230,230,-1,0.0,0.0,-0.3,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-22,-18.9,-0.23,1.000,1.000,6.48,0,0,0,39.2,180.0,179.9,230.8,0.00,0,-1.0,-0.5
0.80,climb,79.97,270.03,1.000,1,2400.1,-3269.1,-507.6,3634.6,0.00,0.09,229,225,-1,0.0,0.0,-0.4,0.0,0.01,-0.02,0.00,0.00,0.00,0.00,0.06,-0.07,82,-1,1,-25,-18.9,-0.12,1.000,1.000,9.66,0,26,0,43.6,179.6,179.6,226.4,0.00,0,-1.0,-0.5
0.90,climb,81.32,268.68,1.000,1,2400.1,-3269.1,-507.6,3634.6,0.00,0.18,229,225,-1,0.0,0.0,-0.4,0.2,0.03,-0.00,0.00,0.00,0.00,0.00,0.12,-0.13,82,-1,1,-27,-27.1,-0.00,1.000,1.000,12.80,0,26,0,43.6,179.6,179.6,226.4,0.00,0,-0.3,-1.5
1.00,climb,82.99,267.01,1.000,1,2400.0,-3269.1,-507.5,3634.6,-0.18,0.18,228,225,-1,0.0,0.0,-0.3,0.4,0.04,0.01,0.00,0.00,0.00,0.00,0.25,-0.01,82,-1,1,-30,-34.3,0.09,1.000,1.000,15.92,0,26,0,43.6,179.6,179.6,226.4,0.00,0,0.7,-2.0
1.10,climb,84.96,265.04,1.000,1,2400.0,-3269.1,-507.5,3634.6,-0.18,0.35,228,225,-1,0.0,0.0,-0.1,0.6,0.03,0.03,0.00,0.00,0.00,0.00,0.37,-0.14,82,-1,1,-32,-38.8,0.13,1.000,1.000,19.00,0,26,0,43.6,179.6,179.6,226.4,0.00,0,1.7,-1.7
1.20,climb,87.24,262.76,1.000,1,2400.0,-3269.0,-507.5,3634.5,-0.35,0.35,225,211,-1,0.0,0.0,0.2,0.7,0.02,0.04,0.00,0.00,0.00,0.00,0.50,-0.00,82,-1,1,-33,-39.9,0.14,1.000,1.000,22.05,0,26,0,57.9,181.0,180.6,212.1,0.00,0,2.0,-1.4
1.30,climb,89.82,260.18,1.000,1,2399.9,-3269.0,-507.5,3634.5,-0.35,0.09,223,211,-1,0.0,0.0,0.3,0.7,0.01,0.03,0.00,0.00,0.00,0.00,0.37,0.14,82,-1,1,-34,-34.0,0.08,1.000,1.000,25.07,0,26,0,57.9,181.0,180.6,212.1,0.00,0,-0.0,1.1
1.40,climb,92.70,257.30,1.000,1,2399.9,-3269.0,-507.4,3634.5,-0.53,0.00,221,211,-1,0.0,0.0,0.3,0.5,-0.02,0.00,0.00,0.00,0.00,0.00,0.30,0.21,82,-1,1,-35,-29.2,-0.02,1.000,1.000,28.06,0,26,0,57.9,181.0,180.6,212.1,0.00,0,-1.9,2.9
1.50,climb,95.88,254.12,1.000,1,2399.9,-3269.0,-507.4,3634.5,-0.53,0.00,220,211,-1,0.0,0.0,0.1,0.2,-0.05,-0.03,0.00,0.00,0.00,0.00,0.34,0.41,82,-1,1,-36,-29.2,-0.14,1.000,1.000,31.01,0,26,0,57.9,181.0,180.6,212.1,0.00,0,-1.9,2.9
