t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,72.50,277.50,0.378,1,1206.3,2003.5,686.2,-1638.0,0.00,0.00,69,69,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,2,0.0,0.03,0.378,0.378,0.00,0,0,0,200.1,0.0,0.0,69.9,0.00,0,0.0,0.0
0.10,climb,72.50,277.50,0.643,1,1206.3,2003.5,686.2,-1638.0,0.00,0.00,69,69,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,5,0.0,0.09,0.643,0.643,0.00,0,0,0,200.1,0.0,0.0,69.9,0.00,0,0.0,0.0
0.20,climb,72.50,277.50,0.918,1,1206.3,2003.5,686.2,-1638.0,0.00,0.00,69,69,-1,0.0,0.0,-0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,8,0.0,0.15,0.919,0.919,0.00,0,0,0,200.1,0.0,0.0,69.9,0.00,0,0.0,0.0
0.30,climb,72.50,277.50,1.000,1,1206.3,2003.5,686.2,-1638.0,0.00,0.00,69,69,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,11,0.0,0.21,1.000,1.000,0.00,0,0,0,200.1,0.0,0.0,69.9,0.00,0,0.0,0.0
0.40,climb,72.54,277.46,1.000,1,1206.3,2003.5,686.2,-1638.0,0.00,0.00,69,69,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,13,1.8,0.27,1.000,1.000,0.18,0,0,0,200.1,360.0,359.9,69.9,0.00,0,-0.2,0.1
0.50,climb,72.86,277.14,1.000,1,1206.3,2003.5,686.2,-1638.0,0.00,0.00,69,69,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,16,1.8,0.29,1.000,1.000,1.19,0,0,0,200.1,360.0,359.9,69.9,0.00,0,-0.2,0.1
0.60,climb,73.09,276.91,1.000,1,1206.3,2003.5,686.2,-1638.0,0.00,0.00,69,69,-1,0.0,0.0,-0.1,-0.1,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,19,11.3,0.28,1.000,1.000,3.24,0,0,0,200.1,360.0,359.9,69.9,0.00,0,-0.9,0.4
0.70,climb,73.79,276.21,1.000,1,1206.3,2003.5,686.2,-1638.0,0.04,-0.04,69,69,-1,0.0,0.0,-0.2,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,22,19.6,0.22,1.000,1.000,6.13,0,0,0,200.1,360.0,359.9,69.9,0.00,0,-0.7,0.4
0.80,climb,74.80,275.20,1.000,1,1206.3,2003.5,686.2,-1638.0,0.09,-0.09,70,73,-1,0.0,0.0,-0.2,-0.2,-0.01,-0.01,0.00,0.00,0.00,0.00,0.06,-0.03,89,-1,1,25,28.0,0.11,1.000,1.000,9.31,0,26,0,195.7,359.8,359.2,74.3,0.00,0,-0.1,-0.0
0.90,climb,76.12,273.88,1.000,1,1206.3,2003.5,686.2,-1638.0,0.09,-0.09,70,73,-1,0.0,0.0,-0.2,-0.2,-0.00,-0.00,0.00,0.00,0.00,0.00,0.11,-0.05,89,-1,1,27,28.0,-0.01,1.000,1.000,12.46,0,26,0,195.7,359.8,359.2,74.3,0.00,0,-0.1,-0.0
