t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav0,nav2,trihdg,trires,aimq
0.00,climb,62.50,287.50,1.000,1,1889.6,429.5,2.9,-664.0,0.00,0.00,358,358,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-2,0.0,-0.03,1.000,1.000,0.00,0,0,0,272.0,180.3,360.0,358.0,0.00,0
0.10,climb,62.50,287.50,1.000,1,1889.6,429.5,2.9,-664.0,0.00,0.00,358,358,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-5,0.0,-0.09,1.000,1.000,0.00,0,0,0,272.0,180.3,360.0,358.0,0.00,0
0.20,climb,62.50,287.50,1.000,1,1889.6,429.5,2.9,-664.0,0.00,0.00,358,358,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-8,-0.0,-0.15,1.000,1.000,0.00,0,0,0,272.0,180.3,360.0,358.0,0.00,0
0.30,climb,62.51,287.49,1.000,1,1889.6,429.5,2.9,-664.0,0.00,0.00,358,358,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-11,0.0,-0.21,1.000,1.000,0.09,0,0,0,272.0,180.3,360.0,358.0,0.00,0
0.40,climb,62.60,287.40,1.000,1,1889.6,429.5,2.9,-664.0,0.00,0.00,358,358,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-13,-1.8,-0.27,1.000,1.000,0.58,0,0,0,272.0,180.5,360.0,358.0,0.00,0
0.50,climb,62.86,287.14,1.000,1,1889.6,429.5,2.9,-664.0,0.00,0.00,358,358,-1,0.0,0.0,-0.0,0.1,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-16,-1.8,-0.29,1.000,1.000,2.04,0,0,0,272.0,180.5,360.0,358.0,0.00,0
0.60,climb,63.38,286.62,1.000,1,1889.6,429.5,2.9,-664.0,0.00,0.00,358,358,-1,0.0,0.0,-0.1,0.2,0.02,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-19,-11.4,-0.28,1.000,1.000,4.47,0,0,0,272.0,180.5,360.0,358.0,0.00,0
0.70,climb,64.26,285.74,1.000,1,1889.6,429.5,2.9,-664.0,0.09,-0.02,358,358,-1,0.0,0.0,-0.1,0.3,0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-22,-19.8,-0.22,1.000,1.000,7.84,0,0,0,272.0,180.5,360.0,358.0,0.00,0
0.80,climb,65.50,284.50,1.000,1,1889.6,429.5,2.9,-664.0,0.18,-0.07,357,353,-1,0.0,0.0,-0.1,0.4,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.09,96,-1,1,-25,-28.1,-0.10,1.000,1.000,11.53,0,25,0,276.5,181.0,359.9,353.5,0.00,0
0.90,climb,67.11,282.89,1.000,1,1889.6,429.5,2.9,-664.0,0.18,-0.07,357,353,-1,0.0,0.0,0.0,0.4,0.00,0.01,0.00,0.00,0.00,0.00,0.06,0.18,96,-1,1,-27,-28.1,0.02,1.000,1.000,15.18,0,25,0,276.5,181.0,359.9,353.5,0.00,0
1.00,climb,69.08,280.92,1.000,1,1889.6,429.5,2.9,-664.0,0.26,-0.11,356,353,-1,0.0,0.0,0.1,0.3,-0.01,0.02,0.00,0.00,0.00,0.00,0.08,0.23,96,-1,1,-30,-39.6,0.10,1.000,1.000,18.79,0,25,0,276.5,181.0,359.9,353.5,0.00,0
1.10,climb,71.41,278.59,1.000,1,1889.7,429.4,2.9,-664.0,0.35,-0.11,356,353,-1,0.0,0.0,0.3,0.1,-0.02,0.02,0.00,0.00,0.00,0.00,0.09,0.27,96,-1,1,-32,-40.8,0.15,1.000,1.000,22.37,0,25,0,276.5,181.0,359.9,353.5,0.00,0
1.20,climb,74.09,275.91,1.000,1,1889.7,429.4,2.8,-663.9,0.35,-0.11,353,339,-1,0.0,0.0,0.3,-0.0,-0.02,0.02,0.00,0.00,0.00,0.00,0.07,0.36,96,-1,1,-33,-40.8,0.16,1.000,1.000,25.91,0,25,0,291.2,179.1,0.4,338.8,0.00,0
1.30,climb,77.12,272.88,1.000,1,1889.7,429.4,2.8,-663.9,0.35,-0.03,351,339,-1,0.0,0.0,0.3,-0.1,-0.01,-0.00,0.00,0.00,0.00,0.00,-0.02,0.35,96,-1,1,-34,-38.7,0.10,1.000,1.000,29.41,0,25,0,291.2,179.1,0.4,338.8,0.00,0
1.40,climb,80.49,269.51,1.000,1,1889.8,429.5,2.8,-663.9,0.26,0.12,349,339,-1,0.0,0.0,0.1,0.1,0.02,-0.02,0.00,0.00,0.00,0.00,-0.10,0.25,96,-1,1,-35,-28.8,-0.00,1.000,1.000,32.88,0,25,0,291.2,179.1,0.4,338.8,0.00,0
1.50,climb,84.20,265.80,1.000,1,1889.8,429.5,2.7,-664.0,0.26,0.15,348,339,-1,0.0,0.0,-0.1,0.4,0.06,-0.04,0.00,0.00,0.00,0.00,-0.17,0.23,96,-1,1,-36,-22.8,-0.15,1.000,1.000,36.31,0,25,0,291.2,179.1,0.4,338.8,0.00,0
1.60,climb,88.24,261.76,1.000,1,1889.8,429.5,2.7,-664.0,0.26,0.10,345,327,-1,0.0,0.0,-0.4,1.0,0.10,-0.05,0.00,0.00,0.00,0.00,-0.22,0.21,96,-1,1,-36,-18.9,-0.27,1.000,1.000,39.70,0,25,0,303.2,181.6,359.0,326.8,0.00,0
