t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,96.50,253.50,1.000,1,1892.5,365.5,-688.0,1630.0,0.00,0.00,180,180,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-2,-0.0,-0.03,1.000,1.000,0.00,0,0,0,90.0,0.0,180.0,180.0,0.00,0,-0.0,-0.0
0.10,climb,96.50,253.50,1.000,1,1892.5,365.5,-688.0,1630.0,0.00,0.00,180,180,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-5,0.0,-0.09,1.000,1.000,0.00,0,0,0,90.0,0.0,180.0,180.0,0.00,0,0.0,-0.0
0.20,climb,96.50,253.50,1.000,1,1892.5,365.5,-688.0,1630.0,0.00,0.00,180,180,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-7,0.0,-0.15,1.000,1.000,0.00,0,0,0,90.0,0.0,180.0,180.0,0.00,0,-0.0,0.0
0.30,climb,96.50,253.50,1.000,1,1892.5,365.5,-688.0,1630.0,0.00,0.00,180,180,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-11,-0.0,-0.21,1.000,1.000,0.00,0,0,0,90.0,0.0,180.0,180.0,0.00,0,-0.0,0.0
0.40,climb,96.50,253.50,1.000,1,1892.5,365.5,-688.0,1630.0,0.00,0.00,180,180,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-14,-0.0,-0.27,1.000,1.000,0.00,0,0,0,90.0,0.0,180.0,180.0,0.00,0,-0.0,0.0
0.50,climb,96.75,253.25,1.000,1,1892.5,365.5,-688.0,1630.0,0.00,-0.00,180,180,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-1,-1,1,-17,-1.3,-0.30,1.000,1.000,0.70,0,0,0,90.0,0.0,180.0,180.0,0.00,0,-0.2,0.0
0.60,climb,96.96,253.04,1.000,1,1892.5,365.5,-688.0,1630.0,0.00,0.00,180,180,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-20,-4.6,-0.30,1.000,1.000,2.75,0,0,0,90.0,0.0,180.0,180.0,0.00,0,-0.5,0.1
0.70,climb,97.60,252.40,1.000,1,1892.5,365.5,-688.0,1630.0,0.00,0.02,180,180,-1,0.0,0.0,-0.2,-0.0,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-22,-20.0,-0.23,1.000,1.000,5.65,0,0,0,90.0,0.0,180.0,180.0,0.00,0,-1.4,0.3
0.80,climb,98.57,251.43,1.000,1,1892.5,365.5,-688.0,1630.0,0.00,0.02,179,176,-1,0.0,0.0,-0.3,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,0.02,0.00,100,-1,1,-25,-20.0,-0.10,1.000,1.000,8.84,0,26,0,94.3,4.4,179.7,175.7,0.00,0,-1.4,0.3
0.90,climb,99.84,250.16,1.000,1,1892.5,365.5,-688.0,1630.0,0.00,0.08,179,176,-1,0.0,0.0,-0.4,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,0.08,0.00,100,-1,1,-27,-29.8,0.05,1.000,1.000,11.99,0,26,0,94.3,4.4,179.7,175.7,0.00,0,-1.1,0.5
1.00,climb,102.34,247.66,1.000,1,1892.5,365.6,-688.0,1630.0,0.09,0.25,178,176,-1,0.0,0.0,-0.5,-0.1,-0.00,-0.01,0.00,0.00,0.00,0.00,0.16,0.00,100,-1,1,-30,-42.9,0.16,1.000,1.000,15.11,0,26,0,94.3,4.4,179.7,175.7,0.00,0,0.6,-0.2
1.10,climb,103.33,246.67,1.000,1,1892.5,365.6,-688.0,1629.9,0.13,0.32,178,176,-1,0.0,0.0,-0.4,-0.0,0.01,0.01,0.00,0.00,0.00,0.00,0.26,-0.08,100,-1,1,-32,-43.4,0.21,1.000,1.000,18.20,0,26,0,94.3,4.4,179.7,175.7,0.00,0,1.6,-0.5
1.20,climb,105.53,244.47,1.000,1,1892.5,365.6,-688.0,1629.9,0.18,0.37,175,160,-1,0.0,0.0,-0.2,0.1,0.01,0.02,0.00,0.00,0.00,0.00,0.33,-0.11,100,-1,1,-33,-39.4,0.21,1.000,1.000,21.26,0,26,0,110.1,0.6,179.8,159.9,0.00,0,2.1,-0.7
1.30,climb,108.03,241.97,1.000,1,1892.6,365.7,-688.0,1629.9,0.18,0.40,173,160,-1,0.0,0.0,0.0,0.1,0.01,0.03,0.00,0.00,0.00,0.00,0.39,-0.13,100,-1,1,-33,-33.0,0.12,1.000,1.000,24.29,0,26,0,110.1,0.6,179.8,159.9,0.00,0,2.2,-0.8
1.40,climb,110.83,239.17,1.000,1,1892.6,365.7,-688.1,1629.8,0.13,0.38,171,160,-1,0.0,0.0,0.2,0.2,0.01,0.04,0.00,0.00,0.00,0.00,0.42,-0.11,100,-1,1,-35,-25.5,-0.03,1.000,1.000,27.29,0,26,0,110.1,0.6,179.8,159.9,0.00,0,1.9,-0.7
1.50,climb,115.59,234.41,1.000,1,1892.6,365.7,-688.1,1629.8,0.13,0.38,169,160,-1,0.0,0.0,0.4,0.2,0.01,0.03,0.00,0.00,0.00,0.00,0.40,-0.06,100,-1,1,-36,-25.5,-0.21,1.000,1.000,30.26,0,26,0,110.1,0.6,179.8,159.9,0.00,0,1.9,-0.7
1.60,climb,117.33,232.67,1.000,1,1892.6,365.8,-688.1,1629.8,0.00,0.27,166,149,-1,0.0,0.0,0.5,0.2,-0.00,0.01,0.00,0.00,0.00,0.00,0.35,-0.00,100,-1,1,-36,-16.4,-0.33,1.000,1.000,33.20,0,26,0,121.2,359.4,180.3,148.8,0.00,0,-0.8,0.7
