t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav0,nav2,trihdg,trires,aimq
0.00,fly,62.50,10.00,0.378,1,1888.8,429.8,0.0,0.0,0.00,0.00,242,242,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.378,0.378,0.00,0,0,0,27.6,180.0,180.0,242.4,0.00,0
0.10,fly,62.50,10.00,0.512,1,1888.8,429.8,0.0,0.0,0.00,0.00,242,242,-1,0.0,0.0,0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,-0.0,0.00,0.512,0.513,0.00,0,0,0,27.6,180.0,180.0,242.4,0.00,0
0.20,fly,62.50,10.00,0.522,1,1888.8,429.8,0.0,0.0,0.00,0.00,242,242,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.522,0.523,0.00,0,0,0,27.6,180.0,180.0,242.4,0.00,0
0.30,fly,62.50,10.00,0.532,1,1888.8,429.8,0.0,0.0,0.00,0.00,242,242,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.532,0.533,0.00,0,0,0,27.6,180.0,180.0,242.4,0.00,0
0.40,fly,62.51,9.99,0.539,1,1888.8,429.8,0.0,0.0,0.00,0.00,242,242,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.539,0.540,0.06,0,0,0,27.6,180.0,180.0,242.4,0.00,0
0.50,fly,62.53,9.97,0.543,1,1888.8,429.8,0.0,0.0,0.00,0.00,242,242,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.543,0.545,0.16,0,0,0,27.6,180.0,180.1,242.4,0.00,0
0.60,fly,62.64,9.86,0.516,1,1888.8,429.8,0.0,0.0,0.00,0.00,242,242,-1,0.0,0.0,-0.0,0.1,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.516,0.519,0.82,0,0,0,27.6,180.1,180.1,242.4,0.00,0
0.70,fly,62.89,9.61,0.450,1,1888.8,429.8,0.0,0.0,0.00,0.00,242,242,-1,0.0,0.0,-0.0,0.1,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.450,0.455,2.12,0,0,0,27.6,180.1,180.3,242.4,0.00,0
0.80,fly,63.27,9.23,0.374,1,1888.8,429.8,0.0,0.0,0.00,-0.02,242,242,-1,0.0,0.0,-0.0,0.2,0.02,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,97,-1,0,0,-0.0,0.00,0.374,0.382,3.49,0,25,0,27.6,180.2,180.4,242.4,0.00,0
0.90,fly,63.74,8.76,0.311,1,1888.8,429.8,0.0,0.0,0.00,-0.02,242,242,-1,0.0,0.0,-0.1,0.4,0.02,-0.00,0.00,0.00,0.00,0.00,-0.01,0.02,97,-1,0,0,-0.0,0.00,0.311,0.321,4.51,0,25,0,27.6,180.3,180.6,242.4,0.00,0
1.00,fly,64.27,8.23,0.261,1,1888.8,429.8,0.0,0.0,0.00,-0.03,242,242,-1,0.0,0.0,-0.1,0.5,0.03,-0.01,0.00,0.00,0.00,0.00,-0.01,0.02,97,-1,0,0,-0.0,0.00,0.261,0.273,5.20,0,25,0,27.6,180.4,180.9,242.4,0.00,0
