t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,96.50,253.50,1.000,1,1892.5,365.5,-634.0,-475.0,0.00,0.00,359,359,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.03,1.000,1.000,0.00,0,0,0,270.0,180.0,0.0,0.0,0.00,0,0.0,0.0
0.10,climb,96.50,253.50,1.000,1,1892.5,365.5,-634.0,-475.0,0.00,0.00,359,359,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,5,0.0,0.09,1.000,1.000,0.00,0,0,0,270.0,180.0,0.0,0.0,0.00,0,0.0,0.0
0.20,climb,96.50,253.50,1.000,1,1892.5,365.5,-634.0,-475.0,0.00,0.00,359,359,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,8,0.0,0.15,1.000,1.000,0.00,0,0,0,270.0,180.0,0.0,0.0,0.00,0,-0.0,0.0
0.30,climb,96.50,253.50,1.000,1,1892.5,365.5,-634.0,-475.0,0.00,0.00,359,359,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,10,0.0,0.21,1.000,1.000,0.00,0,0,0,270.0,180.0,0.0,0.0,0.00,0,-0.0,0.0
0.40,climb,96.50,253.50,1.000,1,1892.5,365.5,-634.0,-475.0,0.00,-0.00,359,359,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,13,0.0,0.27,1.000,1.000,0.00,0,0,0,270.0,0.0,0.0,0.0,0.00,0,-0.0,0.0
0.50,climb,96.64,253.36,1.000,1,1892.5,365.5,-634.0,-475.0,0.00,-0.00,359,359,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,17,0.0,0.33,1.000,1.000,0.43,0,0,0,270.0,0.0,0.0,0.0,0.00,0,-0.0,0.0
0.60,climb,96.81,253.19,1.000,1,1892.5,365.5,-634.0,-475.0,0.00,0.00,359,359,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,20,9.7,0.32,1.000,1.000,2.00,0,0,0,270.0,0.0,0.0,0.0,0.00,0,-0.8,0.3
0.70,climb,97.38,252.62,1.000,1,1892.5,365.5,-634.0,-475.0,0.00,0.00,359,359,-1,0.0,0.0,-0.1,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,23,9.7,0.26,1.000,1.000,4.90,0,0,0,270.0,0.0,0.0,0.0,0.00,0,-0.8,0.3
0.80,climb,98.27,251.73,1.000,1,1892.5,365.5,-634.0,-475.0,0.00,-0.04,360,3,-1,0.0,0.0,-0.3,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.01,0.00,97,-1,1,25,29.7,0.12,1.000,1.000,8.10,0,26,0,266.1,355.6,359.7,3.9,0.00,0,-1.7,0.6
0.90,climb,99.48,250.52,1.000,1,1892.5,365.5,-634.0,-475.0,0.00,-0.04,0,3,-1,0.0,0.0,-0.4,-0.2,-0.02,-0.03,0.00,0.00,0.00,0.00,0.04,-0.00,97,-1,1,27,29.7,-0.05,1.000,1.000,11.26,0,26,0,266.1,355.6,359.7,3.9,0.00,0,-1.7,0.6
1.00,climb,101.87,248.13,1.000,1,1892.5,365.5,-634.0,-475.0,0.00,-0.10,1,3,-1,0.0,0.0,-0.6,-0.3,-0.02,-0.02,0.00,0.00,0.00,0.00,0.10,-0.00,97,-1,1,30,38.4,-0.17,1.000,1.000,14.38,0,26,0,266.1,355.6,359.7,3.9,0.00,0,-1.4,0.6
1.10,climb,102.82,247.18,1.000,1,1892.5,365.5,-634.0,-475.0,-0.09,-0.21,1,3,-1,0.0,0.0,-0.6,-0.3,-0.01,-0.01,0.00,0.00,0.00,0.00,0.21,-0.09,97,-1,1,33,43.5,-0.22,1.000,1.000,17.48,0,26,0,266.1,355.6,359.7,3.9,0.00,0,-0.6,0.1
1.20,climb,104.95,245.05,1.000,1,1892.5,365.4,-634.0,-474.9,-0.09,-0.38,4,19,-1,0.0,0.0,-0.5,-0.3,-0.01,0.00,0.00,0.00,0.00,0.00,0.29,-0.11,97,-1,1,33,40.3,-0.22,1.000,1.000,20.55,0,26,0,250.1,358.2,359.4,19.9,0.00,0,0.6,-0.3
1.30,climb,107.39,242.61,1.000,1,1892.5,365.4,-634.0,-474.9,-0.09,-0.38,6,19,-1,0.0,0.0,-0.4,-0.3,-0.00,0.01,0.00,0.00,0.00,0.00,0.37,-0.13,97,-1,1,34,40.3,-0.13,1.000,1.000,23.59,0,26,0,250.1,358.2,359.4,19.9,0.00,0,0.6,-0.3
1.40,climb,110.12,239.88,1.000,1,1892.5,365.3,-634.0,-474.8,-0.09,-0.45,8,19,-1,0.0,0.0,-0.3,-0.3,-0.00,0.01,0.00,0.00,0.00,0.00,0.43,-0.15,97,-1,1,35,33.8,0.02,1.000,1.000,26.60,0,26,0,250.1,358.2,359.4,19.9,0.00,0,0.6,-0.4
1.50,climb,114.78,235.22,1.000,1,1892.5,365.3,-634.0,-474.8,-0.09,-0.48,9,19,-1,0.0,0.0,-0.3,-0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.46,-0.17,97,-1,1,36,26.0,0.20,1.000,1.000,29.57,0,26,0,250.1,358.2,359.4,19.9,0.00,0,0.5,-0.4
1.60,climb,116.48,233.52,1.000,1,1892.4,365.2,-633.9,-474.7,-0.09,-0.55,13,30,-1,0.0,0.0,-0.3,-0.3,0.00,-0.00,0.00,0.00,0.00,0.00,0.48,-0.20,97,-1,1,36,13.7,0.35,1.000,1.000,32.52,0,26,0,239.0,359.2,359.5,31.0,0.00,0,-0.2,-0.2
1.70,climb,120.09,229.91,1.000,1,1892.4,365.2,-633.9,-474.7,-0.09,-0.55,15,30,-1,0.0,0.0,-0.3,-0.3,-0.00,-0.01,0.00,0.00,0.00,0.00,0.51,-0.23,97,-1,1,36,13.7,0.45,1.000,1.000,35.43,0,26,0,239.0,359.2,359.5,31.0,0.00,0,-0.2,-0.2
1.80,climb,123.99,226.01,1.000,1,1892.4,365.1,-633.9,-474.6,-0.09,-0.57,17,30,-1,0.0,0.0,-0.4,-0.3,-0.00,-0.02,0.00,0.00,0.00,0.00,0.52,-0.26,97,-1,1,37,14.1,0.46,1.000,1.000,38.32,0,26,0,239.0,359.2,359.5,31.0,0.00,0,-0.7,-0.1
1.90,climb,128.18,221.82,1.000,1,1892.4,365.1,-633.9,-474.6,-0.09,-0.59,19,30,-1,0.0,0.0,-0.5,-0.3,-0.01,-0.02,0.00,0.00,0.00,0.00,0.53,-0.28,97,-1,1,38,19.9,0.36,1.000,1.000,41.17,0,26,0,239.0,359.2,359.5,31.0,0.00,0,-1.1,0.0
2.00,climb,134.99,215.01,1.000,1,1892.4,364.9,-633.9,-474.5,-0.09,-0.69,22,38,-1,0.0,0.0,-0.6,-0.3,-0.01,-0.03,0.00,0.00,0.00,0.00,0.55,-0.32,97,-1,1,38,40.3,0.18,1.000,1.000,43.99,0,26,0,230.7,358.9,359.1,39.3,0.00,0,-1.3,0.4
