t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,70.50,279.50,1.000,1,4242.9,-3268.2,-2350.4,3633.7,0.00,0.00,256,256,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-2,-0.0,-0.03,1.000,1.000,0.00,0,0,0,13.3,180.0,180.0,256.7,0.00,0,-0.0,0.0
0.10,climb,70.50,279.50,1.000,1,4242.9,-3268.2,-2350.4,3633.7,0.00,0.00,256,256,-1,0.0,0.0,0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-4,-0.0,-0.09,1.000,1.000,0.00,0,0,0,13.3,180.0,180.0,256.7,0.00,0,-0.0,0.0
0.20,climb,70.50,279.50,1.000,1,4242.9,-3268.2,-2350.4,3633.7,0.00,0.00,256,256,-1,0.0,0.0,0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-7,0.0,-0.15,1.000,1.000,0.00,0,0,0,13.3,180.0,180.0,256.7,0.00,0,-0.1,0.0
0.30,climb,70.51,279.49,1.000,1,4242.9,-3268.2,-2350.4,3633.7,0.00,0.00,256,256,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-11,0.0,-0.21,1.000,1.000,0.05,0,0,0,13.3,180.0,180.0,256.7,0.00,0,-0.1,0.0
0.40,climb,70.57,279.43,1.000,1,4242.9,-3268.2,-2350.4,3633.7,0.00,0.00,256,256,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-13,-0.6,-0.26,1.000,1.000,0.37,0,0,0,13.4,180.0,179.9,256.6,0.00,0,-0.5,0.1
0.50,climb,70.77,279.23,1.000,1,4242.9,-3268.2,-2350.4,3633.7,0.00,0.00,256,256,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-16,-5.6,-0.29,1.000,1.000,1.55,0,0,0,13.4,180.0,179.9,256.6,0.00,0,-0.9,0.2
0.60,climb,71.20,278.80,1.000,1,4242.9,-3268.2,-2350.4,3633.7,0.00,0.00,256,256,-1,0.0,0.0,-0.2,-0.0,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-19,-11.2,-0.28,1.000,1.000,3.59,0,0,0,13.4,180.0,179.9,256.6,0.00,0,-1.3,0.2
0.70,climb,71.92,278.08,1.000,1,4242.9,-3268.2,-2350.4,3633.7,0.00,0.00,256,256,-1,0.0,0.0,-0.3,-0.0,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-22,-11.2,-0.22,1.000,1.000,6.48,0,0,0,13.4,180.0,179.9,256.6,0.00,0,-1.3,0.2
0.80,climb,72.97,277.03,1.000,1,4242.9,-3268.2,-2350.4,3633.7,0.00,0.00,255,251,-1,0.0,0.0,-0.4,0.1,0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,85,-1,1,-25,-18.9,-0.12,1.000,1.000,9.66,0,26,0,17.7,179.9,179.7,252.3,0.00,0,-1.0,-0.5
0.90,climb,74.32,275.68,1.000,1,4242.9,-3268.1,-2350.4,3633.7,-0.35,0.18,254,251,-1,0.0,0.0,-0.4,0.2,0.03,-0.00,0.00,0.00,0.00,0.00,0.05,-0.17,85,-1,1,-27,-34.2,-0.01,1.000,1.000,12.81,0,26,0,17.7,179.9,179.7,252.3,0.00,0,0.7,-2.0
1.00,climb,75.99,274.01,1.000,1,4242.8,-3268.1,-2350.4,3633.6,-0.35,0.18,254,251,-1,0.0,0.0,-0.3,0.5,0.04,0.01,0.00,0.00,0.00,0.00,0.39,-0.07,85,-1,1,-30,-38.6,0.09,1.000,1.000,15.92,0,26,0,17.7,179.9,179.7,252.3,0.00,0,1.7,-1.8
1.10,climb,77.96,272.04,1.000,1,4242.8,-3268.1,-2350.3,3633.6,-0.35,0.18,254,251,-1,0.0,0.0,-0.1,0.6,0.03,0.03,0.00,0.00,0.00,0.00,0.39,-0.07,85,-1,1,-32,-39.6,0.12,1.000,1.000,18.99,0,26,0,17.7,179.9,179.7,252.3,0.00,0,2.0,-1.4
1.20,climb,80.24,269.76,1.000,1,4242.8,-3268.1,-2350.3,3633.6,-0.35,0.00,251,237,-1,0.0,0.0,0.2,0.8,0.02,0.04,0.00,0.00,0.00,0.00,0.39,-0.05,85,-1,1,-33,-37.5,0.13,1.000,1.000,22.05,0,26,0,32.0,180.9,181.4,238.0,0.00,0,1.3,-0.4
1.30,climb,82.82,267.18,1.000,1,4242.8,-3268.1,-2350.3,3633.6,-0.35,0.00,249,237,-1,0.0,0.0,0.3,0.7,0.01,0.03,0.00,0.00,0.00,0.00,0.33,0.13,85,-1,1,-34,-37.5,0.07,1.000,1.000,25.06,0,26,0,32.0,180.9,181.4,238.0,0.00,0,1.3,-0.4
1.40,climb,85.70,264.30,1.000,1,4242.7,-3268.1,-2350.2,3633.6,-0.35,-0.18,247,237,-1,0.0,0.0,0.3,0.6,-0.02,0.00,0.00,0.00,0.00,0.00,0.26,0.30,85,-1,1,-35,-28.9,-0.03,1.000,1.000,28.05,0,26,0,32.0,180.9,181.4,238.0,0.00,0,-1.9,2.8
1.50,climb,88.88,261.12,1.000,1,4242.7,-3268.1,-2350.2,3633.6,-0.35,-0.18,246,237,-1,0.0,0.0,0.1,0.3,-0.04,-0.03,0.00,0.00,0.00,0.00,0.25,0.31,85,-1,1,-36,-28.9,-0.15,1.000,1.000,31.01,0,26,0,32.0,180.9,181.4,238.0,0.00,0,-1.9,2.8
1.60,climb,92.36,257.64,1.000,1,4242.6,-3268.2,-2350.2,3633.7,-0.35,-0.35,243,225,-1,0.0,0.0,-0.3,-0.2,-0.06,-0.07,0.00,0.00,0.00,0.00,0.15,0.47,85,-1,1,-36,-21.6,-0.23,1.000,1.000,33.93,0,26,0,44.0,179.5,179.5,226.0,0.00,0,-5.0,4.6
1.70,climb,96.12,253.88,1.000,1,4242.6,-3268.2,-2350.1,3633.7,-0.35,-0.35,240,225,-1,0.0,0.0,-0.9,-0.6,-0.07,-0.09,0.00,0.00,0.00,0.00,0.13,0.48,85,-1,1,-37,-21.6,-0.30,1.000,1.000,36.83,0,26,0,44.0,179.5,179.5,226.0,0.00,0,-5.0,4.6
1.80,climb,100.16,249.84,1.000,1,4242.6,-3268.2,-2350.1,3633.7,-0.35,-0.18,238,225,-1,0.0,0.0,-1.4,-0.9,-0.06,-0.09,0.00,0.00,0.00,0.00,0.20,0.34,85,-1,1,-37,-21.0,-0.33,1.000,1.000,39.69,0,26,0,44.0,179.5,179.5,226.0,0.00,0,-5.1,4.2
1.90,climb,104.49,245.51,1.000,1,4242.5,-3268.2,-2350.0,3633.7,-0.35,0.00,236,225,-1,0.0,0.0,-1.7,-1.1,-0.03,-0.07,0.00,0.00,0.00,0.00,0.29,0.20,85,-1,1,-39,-23.4,-0.30,1.000,1.000,42.52,0,26,0,44.0,179.5,179.5,226.0,0.00,0,-3.8,2.6
2.00,climb,109.08,240.92,1.000,1,4242.5,-3268.1,-2350.0,3633.7,-0.35,0.79,233,215,-1,0.0,0.0,-1.8,-0.9,0.02,-0.03,0.00,0.00,0.00,0.00,0.49,-0.07,85,-1,1,-38,-37.2,-0.18,1.000,1.000,45.31,0,26,0,53.9,176.7,177.6,216.1,0.00,0,2.8,-3.1
2.10,climb,113.95,236.05,0.997,1,4242.5,-3268.1,-2350.0,3633.6,-0.35,0.79,230,215,-1,0.0,0.0,-1.5,-0.4,0.07,0.03,0.00,0.00,0.00,0.00,0.78,-0.38,85,-1,1,-39,-37.2,-0.03,0.997,1.000,48.07,0,26,0,53.9,176.7,177.6,216.1,0.00,0,2.8,-3.1
2.20,climb,119.09,230.91,0.827,1,4242.4,-3267.9,-2349.9,3633.5,-0.35,1.23,228,215,-1,0.0,0.0,-0.8,0.3,0.11,0.09,0.00,0.00,0.00,0.00,0.97,-0.54,85,-1,0,-39,-51.8,0.12,0.827,0.908,50.80,0,26,0,53.9,176.7,177.6,216.1,0.00,0,7.6,-7.2
2.30,climb,124.48,225.52,0.673,1,4242.4,-3267.9,-2349.9,3633.4,-0.35,1.23,226,215,-1,0.0,0.0,0.0,1.1,0.12,0.12,0.00,0.00,0.00,0.00,1.11,-0.64,85,-1,0,-41,-51.8,0.24,0.675,0.773,53.43,0,26,0,53.9,176.7,177.6,216.1,0.00,0,7.6,-7.2
2.40,climb,130.08,219.92,0.531,1,4242.4,-3267.8,-2349.9,3633.3,-0.70,1.23,221,196,-1,0.0,0.0,0.8,1.6,0.09,0.12,0.00,0.00,0.00,0.00,1.39,-0.28,85,-1,0,-39,-53.9,0.30,0.534,0.617,55.66,0,26,0,73.2,184.1,181.2,196.8,0.00,0,6.9,-6.0
2.50,climb,135.83,214.17,0.417,1,4242.3,-3267.7,-2349.8,3633.2,-0.70,0.97,217,196,-1,0.0,0.0,1.2,1.6,0.03,0.07,0.00,0.00,0.00,0.00,1.20,-0.03,85,-1,0,-38,-51.8,0.27,0.419,0.457,57.21,0,26,0,73.2,184.1,181.2,196.8,0.00,0,3.7,-2.6
2.60,climb,141.66,208.34,0.332,1,4242.2,-3267.6,-2349.7,3633.1,-0.70,0.70,214,196,-1,0.0,0.0,1.1,1.3,-0.04,-0.01,0.00,0.00,0.00,0.00,0.98,0.19,85,-1,0,-38,-47.2,0.19,0.333,0.351,58.10,0,26,0,73.2,184.1,181.2,196.8,0.00,0,-1.0,1.6
2.70,climb,147.50,202.50,0.274,1,4242.0,-3267.5,-2349.6,3633.1,-1.05,0.53,211,196,-1,0.0,0.0,0.5,0.7,-0.09,-0.07,0.00,0.00,0.00,0.00,1.00,0.63,85,-1,0,-38,-36.0,0.07,0.274,0.337,58.38,0,26,0,73.2,184.1,181.2,196.8,0.00,0,-7.1,6.4
2.80,climb,153.33,196.67,0.237,1,4241.9,-3267.5,-2349.5,3633.0,-1.05,0.35,206,179,-1,0.0,0.0,-0.2,0.0,-0.10,-0.11,0.00,0.00,0.00,0.00,0.94,0.71,85,-1,0,-36,-31.4,-0.00,0.237,0.319,58.21,0,26,0,90.3,27.3,179.8,179.7,0.00,0,-7.4,5.8
2.90,climb,159.10,190.90,0.213,1,4241.9,-3267.5,-2349.4,3633.0,-1.05,0.35,202,179,-1,0.0,0.0,-0.9,-0.5,-0.08,-0.12,0.00,0.00,0.00,0.00,0.72,0.85,85,-1,0,-35,-31.4,-0.07,0.213,0.293,57.77,0,26,0,90.3,27.3,179.8,179.7,0.00,0,-7.4,5.8
3.00,climb,164.80,185.20,0.198,1,4241.8,-3267.4,-2349.3,3632.9,-1.05,0.35,198,179,-1,0.0,0.0,-1.5,-0.9,-0.06,-0.11,0.00,0.00,0.00,0.00,0.67,0.89,85,-1,0,-34,-28.0,-0.12,0.198,0.265,57.13,0,26,0,90.3,27.3,179.8,179.7,0.00,0,-6.2,4.5
3.10,climb,170.40,179.60,0.194,1,4241.6,-3267.3,-2349.2,3632.9,-0.70,0.53,195,179,-1,0.0,0.0,-1.9,-1.0,-0.04,-0.08,0.00,0.00,0.00,0.00,0.74,0.71,85,-1,0,-34,-23.9,-0.17,0.194,0.240,56.27,0,26,0,90.3,27.3,179.8,179.7,0.00,0,-1.3,1.5
3.20,climb,175.91,174.09,0.196,1,4241.6,-3267.3,-2349.1,3632.8,-0.70,0.53,191,168,-1,0.0,0.0,-2.0,-1.1,-0.02,-0.04,0.00,0.00,0.00,0.00,0.65,0.59,85,-1,0,-33,-23.9,-0.18,0.197,0.219,55.29,0,26,0,101.0,9.1,178.2,169.0,0.00,0,-1.3,1.5
3.30,climb,181.32,168.68,0.199,1,4241.5,-3267.2,-2349.1,3632.8,-0.70,0.70,187,168,-1,0.0,0.0,-1.9,-1.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.61,0.63,85,-1,0,-32,-22.0,-0.19,0.200,0.204,54.31,0,26,0,101.0,9.1,178.2,169.0,0.00,0,2.7,-0.1
3.40,climb,186.63,163.37,0.200,1,4241.4,-3267.1,-2349.0,3632.7,-0.70,0.70,184,168,-1,0.0,0.0,-1.6,-0.9,0.00,0.02,0.00,0.00,0.00,0.00,0.75,0.65,85,-1,0,-32,-21.6,-0.20,0.200,0.211,53.39,0,26,0,101.0,9.1,178.2,169.0,0.00,0,4.4,-0.7
3.50,climb,191.85,158.15,0.200,1,4241.4,-3267.1,-2348.9,3632.6,-0.70,0.70,182,168,-1,0.0,0.0,-1.2,-0.8,0.01,0.05,0.00,0.00,0.00,0.00,0.72,0.68,85,-1,0,-33,-21.6,-0.22,0.200,0.226,52.48,0,26,0,101.0,9.1,178.2,169.0,0.00,0,4.4,-0.7
3.60,climb,196.99,153.01,0.199,1,4241.4,-3267.1,-2348.9,3632.6,-0.35,0.70,178,159,-1,0.0,0.0,-0.7,-0.7,0.01,0.06,0.00,0.00,0.00,0.00,0.69,0.37,85,-1,0,-32,-21.3,-0.22,0.200,0.229,51.58,0,26,0,109.7,1.4,179.5,160.3,0.00,0,5.0,-1.0
3.70,climb,202.03,147.97,0.199,1,4241.3,-3266.9,-2348.8,3632.5,-0.35,0.70,175,159,-1,0.0,0.0,-0.4,-0.5,0.01,0.04,0.00,0.00,0.00,0.00,0.67,0.41,85,-1,0,-32,-21.2,-0.22,0.199,0.223,50.69,0,26,0,109.7,1.4,179.5,160.3,0.00,0,2.6,-1.2
3.80,climb,206.99,143.01,0.197,1,4241.3,-3266.9,-2348.8,3632.4,-0.35,0.70,173,159,-1,0.0,0.0,-0.2,-0.4,0.01,0.03,0.00,0.00,0.00,0.00,0.65,0.44,85,-1,0,-33,-21.2,-0.23,0.198,0.214,49.81,0,26,0,109.7,1.4,179.5,160.3,0.00,0,2.6,-1.2
3.90,climb,211.86,138.14,0.196,1,4241.3,-3266.9,-2348.8,3632.4,-0.35,0.70,171,159,-1,0.0,0.0,-0.2,-0.3,0.01,0.00,0.00,0.00,0.00,0.00,0.64,0.46,85,-1,0,-33,-21.3,-0.24,0.197,0.204,48.94,0,26,0,109.7,1.4,179.5,160.3,0.00,0,1.0,-1.1
4.00,climb,216.65,133.35,0.194,1,4241.2,-3266.8,-2348.7,3632.3,-0.35,0.70,168,151,-1,0.0,0.0,-0.3,-0.2,0.01,-0.02,0.00,0.00,0.00,0.00,0.61,0.49,85,-1,0,-33,-21.4,-0.24,0.195,0.209,48.08,0,26,0,118.2,0.3,179.8,151.8,0.00,0,-0.6,-1.0
4.10,climb,221.35,128.65,0.192,1,4241.2,-3266.7,-2348.7,3632.2,-0.35,0.62,165,151,-1,0.0,0.0,-0.5,-0.2,0.00,-0.03,0.00,0.00,0.00,0.00,0.59,0.52,85,-1,0,-34,-21.9,-0.24,0.192,0.207,47.23,0,26,0,118.2,0.3,179.8,151.8,0.00,0,-1.7,0.6
4.20,climb,225.96,124.04,0.190,1,4241.1,-3266.6,-2348.7,3632.2,-0.35,0.53,163,151,-1,0.0,0.0,-0.6,-0.2,-0.01,-0.03,0.00,0.00,0.00,0.00,0.48,0.52,85,-1,0,-35,-22.1,-0.25,0.191,0.208,46.36,0,26,0,118.2,0.3,179.8,151.8,0.00,0,-0.9,0.9
4.30,climb,230.49,119.51,0.190,1,4241.1,-3266.5,-2348.6,3632.1,-0.35,0.53,161,151,-1,0.0,0.0,-0.7,-0.3,-0.01,-0.02,0.00,0.00,0.00,0.00,0.38,0.50,85,-1,0,-36,-22.6,-0.27,0.191,0.203,45.49,0,26,0,118.2,0.3,179.8,151.8,0.00,0,0.3,0.7
4.40,climb,237.13,112.87,0.165,1,4241.1,-3266.5,-2348.6,3632.0,-0.35,0.53,158,142,-1,0.0,0.0,-0.6,-0.3,-0.01,-0.00,0.00,0.00,0.00,0.00,0.36,0.52,85,-1,0,-36,-23.0,-0.26,0.166,0.170,44.67,0,26,0,127.1,0.5,179.6,142.9,0.00,0,1.2,0.3
4.50,climb,239.30,110.70,0.183,1,4241.0,-3266.4,-2348.6,3632.0,-0.35,0.53,156,142,-1,0.0,0.0,-0.5,-0.3,-0.00,0.01,0.00,0.00,0.00,0.00,0.33,0.54,85,-1,0,-36,-23.4,-0.27,0.184,0.189,43.83,0,26,0,127.1,0.5,179.6,142.9,0.00,0,1.6,-0.2
4.60,climb,243.57,106.43,0.184,1,4241.0,-3266.4,-2348.5,3631.9,-0.35,0.53,153,142,-1,0.0,0.0,-0.4,-0.3,0.00,0.02,0.00,0.00,0.00,0.00,0.31,0.55,85,-1,0,-37,-23.6,-0.28,0.185,0.193,42.92,0,26,0,127.1,0.5,179.6,142.9,0.00,0,1.7,-0.4
4.70,climb,247.74,102.26,0.187,1,4241.0,-3266.4,-2348.5,3631.9,-0.35,0.53,152,142,-1,0.0,0.0,-0.2,-0.2,0.01,0.02,0.00,0.00,0.00,0.00,0.30,0.56,85,-1,0,-38,-23.6,-0.30,0.188,0.198,41.98,0,26,0,127.1,0.5,179.6,142.9,0.00,0,1.7,-0.4
4.80,climb,251.82,98.18,0.190,1,4240.9,-3266.3,-2348.5,3631.8,-0.35,0.53,149,132,-1,0.0,0.0,-0.1,-0.1,0.01,0.02,0.00,0.00,0.00,0.00,0.27,0.57,85,-1,0,-38,-24.2,-0.29,0.191,0.201,41.05,0,26,0,136.5,359.9,180.1,133.5,0.00,0,1.3,-0.5
4.90,climb,255.81,94.19,0.192,1,4240.9,-3266.2,-2348.4,3631.8,-0.35,0.53,146,132,-1,0.0,0.0,0.0,-0.1,0.01,0.02,0.00,0.00,0.00,0.00,0.24,0.59,85,-1,0,-39,-24.7,-0.30,0.193,0.202,40.13,0,26,0,136.5,359.9,180.1,133.5,0.00,0,0.9,-0.1
5.00,climb,259.72,90.28,0.193,1,4240.9,-3266.2,-2348.4,3631.7,-0.35,0.53,144,132,-1,0.0,0.0,0.1,-0.1,-0.00,0.01,0.00,0.00,0.00,0.00,0.22,0.59,85,-1,0,-40,-25.3,-0.30,0.195,0.199,39.25,0,26,0,136.5,359.9,180.1,133.5,0.00,0,0.1,0.7
5.10,climb,263.54,86.46,0.192,1,4240.8,-3266.1,-2348.4,3631.7,-0.35,0.53,142,132,-1,0.0,0.0,0.1,-0.2,-0.02,-0.00,0.00,0.00,0.00,0.00,0.20,0.60,85,-1,0,-41,-25.9,-0.29,0.193,0.202,38.42,0,26,0,136.5,359.9,180.1,133.5,0.00,0,-0.5,1.4
5.20,climb,267.28,82.72,0.191,1,4240.8,-3266.1,-2348.3,3631.6,-0.35,0.53,139,122,-1,0.0,0.0,0.0,-0.4,-0.03,-0.01,0.00,0.00,0.00,0.00,0.17,0.61,85,-1,0,-41,-25.9,-0.28,0.192,0.208,37.57,0,26,0,146.6,359.6,180.6,123.4,0.00,0,-0.5,1.4
5.30,climb,270.93,79.07,0.191,1,4240.8,-3266.1,-2348.3,3631.6,-0.35,0.53,137,122,-1,0.0,0.0,-0.1,-0.5,-0.02,-0.01,0.00,0.00,0.00,0.00,0.14,0.62,85,-1,0,-42,-26.4,-0.27,0.192,0.206,36.72,0,26,0,146.6,359.6,180.6,123.4,0.00,0,-0.6,1.2
5.40,climb,274.50,75.50,0.188,1,4240.7,-3266.0,-2348.2,3631.5,-0.35,0.53,135,122,-1,0.0,0.0,-0.1,-0.5,-0.01,-0.01,0.00,0.00,0.00,0.00,0.12,0.62,85,-1,0,-42,-27.9,-0.26,0.189,0.197,35.91,0,26,0,146.6,359.6,180.6,123.4,0.00,0,0.2,-0.3
5.50,climb,277.99,72.01,0.185,1,4240.7,-3265.9,-2348.2,3631.5,-0.35,0.35,133,122,-1,0.0,0.0,-0.1,-0.4,0.00,-0.00,0.00,0.00,0.00,0.00,0.10,0.63,85,-1,0,-43,-28.4,-0.24,0.186,0.188,35.12,0,26,0,146.6,359.6,180.6,123.4,0.00,0,0.5,-0.9
5.60,climb,281.40,68.60,0.183,1,4240.6,-3265.9,-2348.2,3631.4,-0.35,0.35,129,111,-1,0.0,0.0,-0.1,-0.3,0.01,0.00,0.00,0.00,0.00,0.00,-0.05,0.49,85,-1,0,-43,-28.6,-0.23,0.183,0.188,34.31,0,26,0,157.6,359.7,180.8,112.4,0.00,0,0.5,-1.0
5.70,climb,284.72,65.28,0.182,1,4240.6,-3265.9,-2348.1,3631.4,-0.35,0.35,127,111,-1,0.0,0.0,-0.0,-0.2,0.01,0.00,0.00,0.00,0.00,0.00,-0.07,0.49,85,-1,0,-43,-28.6,-0.23,0.183,0.189,33.46,0,26,0,157.6,359.7,180.8,112.4,0.00,0,0.5,-1.0
5.80,climb,287.96,62.04,0.156,1,4240.6,-3265.9,-2348.1,3631.4,-0.35,0.35,124,111,-1,0.0,0.0,0.0,-0.1,0.01,0.00,0.00,0.00,0.00,0.00,-0.09,0.49,85,-1,0,-44,-28.6,-0.23,0.157,0.164,32.61,0,26,0,157.6,359.7,180.8,112.4,0.00,0,0.5,-1.0
5.90,climb,291.12,58.88,0.114,1,4240.5,-3265.8,-2348.1,3631.3,-0.35,0.35,122,111,-1,0.0,0.0,0.1,-0.0,0.01,0.00,0.00,0.00,0.00,0.00,-0.11,0.49,85,-1,0,-44,-28.6,-0.23,0.115,0.122,31.78,0,26,0,157.6,359.7,180.8,112.4,0.00,0,0.4,-1.1
