t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav0,nav2,trihdg,trires,aimq
0.00,climb,72.50,277.50,0.378,1,1204.7,1985.9,687.8,-1620.4,0.00,0.00,187,187,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,2,0.0,0.03,0.378,0.378,0.00,0,0,0,82.9,180.0,180.0,187.1,0.00,0
1.10,climb,80.01,269.99,1.000,1,1204.6,1985.9,687.9,-1620.4,-0.26,-0.09,189,192,-1,0.0,0.0,-0.4,0.1,-0.02,-0.01,0.00,0.00,0.00,0.00,-0.04,0.27,99,-1,1,32,39.0,-0.13,1.000,1.000,19.48,0,22,0,78.3,180.1,180.0,191.7,0.00,0
2.30,climb,128.23,221.77,0.559,1,1204.0,1985.6,688.5,-1620.1,-1.14,-0.79,217,228,-1,0.0,0.0,-0.7,-0.9,-0.13,0.02,0.00,0.00,0.00,0.00,0.06,1.39,99,-1,0,40,56.4,-0.33,0.562,0.624,55.41,0,22,0,42.2,181.1,181.2,227.8,0.00,0
3.50,climb,195.60,154.40,0.193,1,1203.1,1985.3,689.4,-1619.8,-0.53,-0.44,262,276,-1,0.0,0.0,0.1,0.8,-0.04,-0.00,0.00,0.00,0.00,0.00,0.46,0.51,99,-1,0,21,21.3,-0.01,0.193,0.209,51.88,0,22,0,353.9,181.6,344.9,276.1,0.00,0
4.70,climb,250.73,99.27,0.189,1,1202.5,1984.7,690.0,-1619.2,-0.35,-0.53,290,297,-1,0.0,0.0,-0.3,0.2,-0.02,-0.01,0.00,0.00,0.00,0.00,0.51,0.38,99,-1,0,-7,5.4,-0.24,0.189,0.200,41.27,0,22,0,333.0,180.6,358.7,297.0,0.00,0
5.90,climb,293.39,56.61,0.078,1,1202.1,1984.1,690.4,-1618.7,-0.26,-0.44,297,297,-1,0.0,0.0,0.2,1.2,0.03,0.01,0.00,0.00,0.00,0.00,0.43,0.27,99,-1,0,-14,-9.4,-0.10,0.078,0.096,31.23,0,22,0,332.8,180.8,358.4,297.2,0.00,0
7.10,climb,321.60,28.40,0.053,1,1201.9,1983.6,690.6,-1618.1,-0.18,-0.44,290,287,-1,0.0,0.0,-0.5,0.6,-0.00,-0.02,0.00,0.00,0.00,0.00,0.31,0.35,99,-1,0,-7,-8.0,0.02,0.053,0.060,16.93,0,22,0,343.4,180.9,356.8,286.6,0.00,0
8.10,cruise,332.39,17.61,0.282,1,1201.7,1983.2,690.8,-1617.7,-0.26,-0.44,282,278,-1,4.0,4.0,-0.2,0.1,-0.05,-0.01,0.00,0.00,0.00,0.00,0.35,0.38,99,-1,0,1,-4.6,0.11,0.282,0.300,7.91,0,22,0,352.4,180.1,358.9,277.6,0.00,0
8.30,cruise,333.89,16.11,0.270,1,1201.6,1983.1,690.9,-1617.6,-0.26,-0.44,281,278,-1,10.1,12.0,0.3,0.1,-0.16,-0.09,0.00,0.00,0.00,0.00,0.34,0.38,99,-1,0,6,-1.8,0.16,0.270,0.336,7.46,0,22,0,353.3,180.1,359.3,276.7,0.00,1
9.50,cruise,340.76,9.24,0.258,1,1201.5,1982.5,691.0,-1617.1,0.62,-1.27,281,282,-1,9.7,40.6,6.7,19.3,0.04,-0.02,0.34,0.00,0.00,0.00,-0.24,1.03,99,-1,0,-1,4.2,-0.13,0.258,0.274,4.52,0,22,0,345.5,197.7,309.0,283.9,0.00,1
10.80,cruise,344.25,5.75,0.351,1,1204.1,1977.8,688.4,-1612.3,3.82,-7.12,293,286,-1,14.1,46.1,11.3,40.3,0.05,-0.03,1.00,0.00,0.00,0.00,-0.70,8.05,99,-1,0,1,-2.6,0.06,0.351,0.380,2.42,0,22,0,344.5,218.4,289.2,282.4,0.00,1
12.00,cruise,346.18,3.82,0.427,1,1211.0,1962.5,681.5,-1597.0,7.73,-18.50,304,290,-1,14.8,52.3,15.3,51.2,-0.02,0.04,1.00,0.00,0.00,0.00,4.05,19.64,99,-1,0,-4,1.0,-0.10,0.427,0.454,1.71,0,22,0,335.9,228.2,291.8,286.8,0.00,1
13.20,cruise,347.62,2.38,0.600,1,1226.4,1928.4,667.7,-1566.3,15.73,-34.58,321,292,-1,28.7,58.3,26.6,58.6,-0.01,-0.03,1.00,0.00,0.00,0.00,16.05,32.54,99,-1,0,2,0.1,0.11,0.600,0.624,1.26,0,22,0,341.9,235.9,282.5,280.7,0.00,1
14.40,cruise,349.17,0.83,0.600,1,1248.2,1873.3,646.4,-1513.4,20.30,-56.47,328,295,-1,25.8,68.2,21.0,68.3,-0.02,0.00,1.00,0.00,0.00,0.00,35.59,45.98,99,-1,0,-2,-1.3,-0.06,0.600,0.612,1.21,0,22,0,326.9,246.1,286.1,284.9,0.00,1
15.60,cruise,348.25,1.75,0.777,1,1278.8,1793.0,616.8,-1435.2,32.08,-76.73,344,316,-1,41.4,66.9,51.0,70.9,-0.06,0.02,1.00,0.00,0.00,0.00,63.71,49.85,99,-1,0,-11,-15.7,0.07,0.777,0.843,-2.54,0,22,0,319.5,241.4,295.0,294.1,0.00,1
16.80,cruise,344.67,5.33,0.800,1,1326.3,1685.2,570.6,-1329.9,43.68,-102.96,344,292,-1,43.5,62.1,50.1,71.6,0.01,-0.04,1.00,0.00,0.00,0.00,84.33,70.02,99,-1,0,10,9.8,0.00,0.800,0.841,-3.69,0,22,0,352.3,250.6,272.7,272.8,0.00,1
18.00,cruise,340.51,9.49,0.800,1,1372.2,1557.5,520.3,-1192.0,39.07,-127.44,289,260,-1,26.6,61.1,-0.5,65.4,-0.07,-0.09,1.00,0.00,0.00,0.00,3.42,133.25,99,-1,0,9,25.6,-0.30,0.804,0.935,-3.16,0,22,0,349.5,245.4,274.9,274.4,0.00,1
19.10,brake,339.70,10.30,0.800,1,1423.3,1392.0,0.0,0.0,51.59,-145.11,331,316,-1,33.9,53.3,54.3,66.0,-0.07,0.14,1.00,0.00,0.00,0.00,102.67,112.85,99,-1,0,-25,-21.3,-0.05,0.800,0.883,-0.27,0,22,0,318.1,224.9,311.9,308.0,0.00,1
19.20,brake,339.76,10.24,0.800,1,1428.6,1377.4,0.0,0.0,53.79,-145.68,333,316,-1,27.9,47.3,53.6,63.0,-0.12,0.12,1.00,0.00,0.00,0.00,105.59,112.11,99,-1,0,-24,-20.4,-0.06,0.800,0.900,-0.41,0,22,0,321.2,221.1,312.6,307.5,0.00,1
20.40,brake,345.51,4.49,0.349,1,1505.9,1200.1,0.0,0.0,67.37,-149.72,300,272,-1,-25.4,-24.7,-2.7,25.4,0.12,-0.59,0.52,0.00,0.00,0.00,17.05,163.83,99,-1,0,17,33.5,-0.14,0.349,0.634,9.10,0,22,0,4.8,205.2,259.8,265.6,0.00,1
21.60,brake,356.98,-6.98,0.250,1,1579.2,1028.8,0.0,0.0,56.21,-134.56,291,293,-1,-2.7,-45.0,-14.7,-26.8,0.05,-0.15,0.65,0.00,0.00,0.00,-4.27,147.52,99,-1,0,-12,-7.4,-0.21,0.251,0.332,7.54,0,22,0,334.0,159.4,37.7,295.2,0.00,1
22.80,brake,362.60,-12.60,0.262,1,1639.9,879.5,0.0,0.0,46.10,-114.35,304,279,-1,-23.0,-42.2,-23.8,-51.1,-0.09,0.10,1.00,0.00,0.00,0.00,27.32,122.18,99,-1,0,15,-9.0,0.30,0.263,0.338,2.51,0,22,0,2.4,128.5,91.9,268.5,0.00,1
24.00,brake,361.88,-11.88,0.379,1,1688.4,766.1,0.0,0.0,42.76,-92.53,275,262,-1,-11.7,-44.4,-9.6,-53.9,0.05,0.10,1.00,0.00,0.00,0.00,-33.92,96.12,99,-1,0,6,26.6,-0.30,0.381,0.442,-2.35,0,22,0,348.2,126.8,81.1,277.1,0.00,1
25.20,brake,358.02,-8.02,0.516,1,1734.5,661.8,0.0,0.0,24.08,-70.77,323,315,-1,-8.9,-44.6,-38.4,-46.7,0.48,-0.15,1.00,0.00,0.00,0.00,42.12,63.95,99,-1,0,-23,-41.1,0.24,0.518,0.772,-3.37,0,22,0,325.9,152.4,37.7,305.9,0.00,1
26.40,brake,355.63,-5.63,0.452,1,1756.6,587.3,0.0,0.0,19.07,-52.23,264,214,-1,-43.2,-18.9,-33.3,-46.8,0.07,0.30,1.00,0.00,0.00,0.00,-23.50,51.94,99,-1,0,70,-32.1,0.30,0.455,0.604,-2.04,0,22,0,81.0,100.8,140.5,212.9,0.00,1
27.60,brake,353.63,-3.63,0.422,1,1782.2,536.4,0.0,0.0,25.75,-40.85,191,186,-1,-44.0,-14.3,-41.9,-32.2,-0.04,-0.21,1.00,0.00,0.00,0.00,-45.13,-17.18,99,-1,0,67,13.0,0.30,0.424,0.523,-1.61,0,22,0,69.8,108.0,131.5,216.0,0.00,1
28.80,brake,351.95,-1.95,0.414,1,1809.3,499.3,0.0,0.0,17.05,-23.51,261,263,-1,-27.0,-40.7,-43.9,-28.4,0.11,-0.15,1.00,0.00,0.00,0.00,-20.68,20.40,99,-1,0,2,40.3,-0.30,0.416,0.517,-0.59,0,22,0,350.7,159.0,67.0,281.4,0.00,1
30.00,brake,351.70,-1.70,0.354,1,1820.0,474.5,0.0,0.0,2.42,-18.90,299,291,-1,-20.5,-42.9,-33.2,-33.1,-0.05,-0.05,1.00,0.00,0.00,0.00,7.00,17.72,99,-1,0,-1,-22.2,0.30,0.356,0.396,-0.27,0,22,0,346.1,153.9,63.3,284.3,0.00,1
30.90,cruise,351.28,-1.28,0.500,1,1819.7,461.8,72.8,-96.3,-1.32,-8.40,286,239,-1,-14.3,-16.9,-19.9,-44.5,-0.16,0.18,1.00,0.00,0.00,0.00,3.53,7.74,98,-1,0,35,-1.8,0.30,0.503,0.670,-0.93,0,22,0,30.7,129.9,116.4,248.4,0.00,1
31.20,cruise,351.16,-1.16,0.348,1,1819.5,459.7,73.0,-94.5,0.40,-2.97,267,239,-1,-2.3,-4.9,-7.1,-37.7,-0.01,0.34,0.93,0.00,0.00,0.00,-0.07,4.01,98,-1,0,37,24.6,0.38,0.351,0.474,-0.67,0,22,0,30.6,139.8,124.9,245.6,0.00,1
32.40,cruise,350.51,-0.51,0.281,1,1821.5,459.4,71.1,-93.8,1.23,0.78,267,278,-1,25.7,43.1,6.8,-2.8,-0.12,0.29,0.00,0.00,0.00,0.00,-1.24,-0.73,98,-1,0,-3,19.8,-0.56,0.286,0.401,-0.31,0,22,0,344.0,175.2,16.3,286.0,0.00,1
33.60,cruise,349.29,0.71,0.368,1,1825.6,459.8,67.5,-94.4,5.89,-1.82,290,285,-1,30.5,47.5,22.6,32.8,0.11,0.05,0.92,0.00,0.00,0.00,-4.68,2.94,98,-1,0,3,-11.6,0.36,0.371,0.429,0.09,0,22,0,349.1,209.4,288.9,280.1,0.00,1
34.60,brake,348.87,1.13,0.486,1,1834.1,452.4,0.0,0.0,10.90,-13.60,305,289,-1,21.8,45.5,24.2,51.4,0.05,-0.03,1.00,0.00,0.00,0.00,-1.55,15.90,98,-1,0,-3,9.5,-0.30,0.488,0.520,0.42,0,22,0,337.8,226.9,290.9,286.2,0.00,1
34.80,brake,348.94,1.06,0.499,1,1835.2,450.9,0.0,0.0,11.51,-14.93,308,289,-1,9.8,33.5,27.9,52.9,0.25,0.22,1.00,0.00,0.00,0.00,0.24,18.85,98,-1,0,-8,4.7,-0.25,0.501,0.687,0.69,0,22,0,332.3,226.2,296.7,291.0,0.00,1
36.00,brake,350.80,-0.80,0.250,1,1858.3,423.3,0.0,0.0,20.52,-23.36,293,272,-1,-38.5,-31.3,-3.4,14.4,0.22,-0.40,0.16,0.00,0.00,0.00,-10.02,29.66,98,-1,0,20,-6.6,0.62,0.256,0.502,0.60,0,22,0,7.5,194.0,242.1,262.7,0.00,1
37.20,brake,350.67,-0.67,0.325,1,1878.7,396.2,0.0,0.0,13.54,-20.56,274,274,-1,-29.5,-39.5,-24.5,-15.6,0.08,-0.02,0.61,0.00,0.00,0.00,-12.49,22.04,98,-1,0,-1,22.5,-0.58,0.332,0.372,-0.59,0,22,0,346.6,170.3,35.7,284.5,0.00,1
38.40,brake,350.22,-0.22,0.395,1,1888.0,376.1,0.0,0.0,3.52,-15.77,294,282,-1,-33.9,-32.8,-35.8,-32.9,-0.15,0.02,1.00,0.00,0.00,0.00,3.30,15.81,98,-1,0,9,-18.6,0.30,0.397,0.465,-0.06,0,22,0,355.8,149.3,82.9,274.2,0.00,1
38.90,align,350.22,-0.22,0.250,1,1888.8,369.6,3.7,-4.1,0.18,-10.05,295,265,-1,-16.2,-20.0,-33.7,-41.2,-0.24,0.02,1.00,0.00,0.00,0.00,4.06,9.20,98,-1,0,-15,1.8,-0.30,0.251,0.357,-0.15,0,22,0,5.3,136.9,95.6,265.7,0.00,0
39.60,align,349.55,0.45,0.359,1,1888.2,365.4,4.3,0.1,-1.45,-3.60,282,263,-1,9.2,-9.4,-14.6,-27.5,0.15,-0.04,0.67,0.00,0.00,0.00,2.18,3.22,98,-1,0,-12,4.8,-0.34,0.362,0.439,-2.03,0,22,0,6.9,143.3,99.2,264.2,0.00,0
40.80,align,348.86,1.14,0.293,1,1885.5,365.0,7.0,0.5,-1.80,1.79,255,246,-1,10.9,2.3,5.9,-12.2,0.04,0.15,0.11,0.00,0.00,0.00,2.19,-1.28,98,-1,0,15,1.2,0.27,0.294,0.369,0.20,0,22,0,23.7,164.5,147.7,247.1,0.00,0
42.00,align,349.23,0.77,0.270,1,1885.3,367.5,7.2,-2.0,0.62,1.93,256,262,-1,4.6,6.0,7.4,-0.4,-0.02,0.05,0.00,0.00,0.00,0.00,-0.13,-2.03,98,-1,0,14,22.8,-0.18,0.270,0.297,0.50,0,22,0,8.5,179.4,176.0,261.5,0.00,0
43.20,align,349.55,0.45,0.275,1,1887.3,369.7,5.4,-4.1,2.29,1.31,276,281,-1,-3.5,6.3,5.3,5.4,0.02,0.03,0.00,0.00,0.00,0.00,-2.32,-1.20,98,-1,0,-6,-2.5,-0.09,0.275,0.295,0.20,0,22,0,349.2,183.1,344.1,280.9,0.00,0
44.40,align,349.77,0.23,0.278,1,1890.6,370.3,2.2,-4.8,2.81,-0.15,276,274,-1,-7.0,2.1,-0.2,6.1,0.01,-0.02,0.00,0.00,0.00,0.00,-2.79,0.34,98,-1,0,-6,-8.6,0.05,0.278,0.288,0.02,0,22,0,355.7,186.1,304.7,274.2,0.00,0
45.60,align,349.90,0.10,0.274,1,1893.4,369.3,-0.7,-4.0,1.93,-1.32,268,266,-1,-6.3,-1.1,-3.6,4.0,-0.00,-0.04,0.00,0.00,0.00,0.00,-2.06,1.20,98,-1,0,2,-0.1,0.06,0.275,0.290,0.03,0,22,0,4.2,184.5,227.1,265.8,0.00,0
46.80,align,350.02,-0.02,0.260,1,1895.0,367.4,-2.4,-2.1,0.70,-1.74,267,267,-1,-3.9,-3.6,-4.4,1.4,0.00,-0.01,0.00,0.00,0.00,0.00,-0.89,1.66,98,-1,0,3,4.1,-0.02,0.260,0.267,0.24,0,22,0,2.7,181.9,214.6,267.3,0.00,0
48.20,align,350.06,-0.06,0.265,1,1895.3,365.3,-2.8,0.2,-0.09,-1.44,271,272,-1,-1.3,-4.5,-2.7,-1.5,-0.00,0.02,0.00,0.00,0.00,0.00,0.11,1.44,98,-1,0,-1,1.8,-0.05,0.266,0.272,0.12,0,22,0,357.8,179.0,24.0,272.2,0.00,0
