t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav0,nav2,trihdg,trires,aimq
0.00,climb,96.50,253.50,1.000,1,1892.5,365.5,-0.0,-800.0,0.00,0.00,90,90,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.03,1.000,1.000,0.00,0,0,0,180.0,0.0,0.0,90.0,0.00,0
0.10,climb,96.50,253.50,1.000,1,1892.5,365.5,-0.0,-800.0,0.00,0.00,90,90,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,4,0.0,0.09,1.000,1.000,0.00,0,0,0,180.0,0.0,0.0,90.0,0.00,0
0.20,climb,96.50,253.50,1.000,1,1892.5,365.5,-0.0,-800.0,0.00,0.00,90,90,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,8,0.0,0.15,1.000,1.000,0.00,0,0,0,180.0,0.0,0.0,90.0,0.00,0
0.30,climb,96.50,253.50,1.000,1,1892.5,365.5,-0.0,-800.0,0.00,0.00,90,90,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,10,0.0,0.21,1.000,1.000,0.00,0,0,0,180.0,0.0,0.0,90.0,0.00,0
0.40,climb,96.50,253.50,1.000,1,1892.5,365.5,-0.0,-800.0,0.00,0.00,90,90,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,13,0.0,0.27,1.000,1.000,0.00,0,0,0,180.0,0.0,180.0,90.0,0.00,0
0.50,climb,96.50,253.50,1.000,1,1892.5,365.5,-0.0,-800.0,0.00,0.00,90,90,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,16,0.0,0.33,1.000,1.000,0.00,0,0,0,180.0,0.0,180.0,90.0,0.00,0
0.60,climb,96.71,253.29,1.000,1,1892.5,365.5,-0.0,-800.0,0.00,0.00,90,90,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-1,-1,1,19,8.9,0.35,1.000,1.000,1.26,0,0,0,180.0,0.0,180.0,90.0,0.00,0
0.70,climb,97.30,252.70,1.000,1,1892.5,365.5,-0.0,-800.0,0.00,0.02,90,90,-1,0.0,0.0,-0.0,0.1,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,22,26.5,0.27,1.000,1.000,4.88,0,0,0,180.0,0.0,180.0,90.0,0.00,0
0.85,climb,98.91,251.09,1.000,1,1892.5,365.5,-0.0,-800.0,0.00,0.05,91,95,-1,0.0,0.0,-0.0,0.3,0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.02,99,-1,1,26,39.7,-0.01,1.000,1.000,10.82,0,25,0,174.5,0.3,176.5,95.5,0.00,0
0.95,climb,100.48,249.52,1.000,1,1892.5,365.5,-0.0,-800.0,0.00,0.05,92,95,-1,0.0,0.0,-0.1,0.5,0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.05,99,-1,1,28,39.7,-0.23,1.000,1.000,14.72,0,25,0,174.5,0.3,176.5,95.5,0.00,0
