t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,92.50,257.50,0.378,1,1410.8,264.0,481.7,101.5,0.00,0.00,145,145,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-2,0.0,-0.03,0.378,0.378,0.00,0,0,0,125.1,0.0,180.0,144.9,0.00,0,0.0,0.0
0.10,climb,92.50,257.50,0.643,1,1410.8,264.0,481.7,101.5,0.00,0.00,145,145,-1,0.0,0.0,-0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-5,0.0,-0.09,0.643,0.643,0.00,0,0,0,125.1,0.0,180.0,144.9,0.00,0,0.0,0.0
0.20,climb,92.50,257.50,0.918,1,1410.8,264.0,481.7,101.5,0.00,-0.00,145,145,-1,0.0,0.0,-0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-8,-0.1,-0.15,0.919,0.919,0.00,0,0,0,125.1,0.0,180.0,144.9,0.00,0,0.0,0.1
0.30,climb,92.50,257.50,1.000,1,1410.8,264.0,481.7,101.5,0.00,-0.02,145,145,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-1,-1,1,-11,-0.2,-0.21,1.000,1.000,0.00,0,0,0,125.1,0.0,180.0,144.9,0.00,0,0.5,-0.4
0.40,climb,92.54,257.46,1.000,1,1410.8,264.0,481.7,101.5,0.00,-0.02,145,145,-1,0.0,0.0,0.0,0.0,0.01,0.01,0.00,0.00,0.00,0.00,-0.02,-0.01,-1,-1,1,-13,-0.2,-0.27,1.000,1.000,0.24,0,0,0,125.2,360.0,180.0,144.8,0.00,0,0.5,-0.4
0.50,climb,92.71,257.29,1.000,1,1410.8,264.0,481.7,101.5,0.00,-0.02,145,145,-1,0.0,0.0,0.1,0.1,0.01,0.00,0.00,0.00,0.00,0.00,-0.02,-0.01,-1,-1,1,-16,-1.9,-0.29,1.000,1.000,1.26,0,0,0,125.2,360.0,180.0,144.8,0.00,0,0.4,-0.4
0.60,climb,93.11,256.89,1.000,1,1410.8,264.0,481.7,101.5,0.00,-0.02,145,145,-1,0.0,0.0,0.0,0.1,0.00,-0.01,0.00,0.00,0.00,0.00,-0.02,-0.01,-1,-1,1,-19,-5.6,-0.28,1.000,1.000,3.30,0,0,0,125.2,360.0,180.0,144.8,0.00,0,-0.2,-0.3
0.70,climb,93.81,256.19,1.000,1,1410.8,264.0,481.7,101.5,-0.09,-0.04,145,145,-1,0.0,0.0,-0.1,0.1,-0.00,-0.03,0.00,0.00,0.00,0.00,-0.09,0.05,-1,-1,1,-22,-11.9,-0.21,1.000,1.000,6.19,0,0,0,125.2,360.0,180.0,144.8,0.00,0,-1.4,0.0
0.85,climb,95.46,254.54,1.000,1,1410.7,264.0,481.7,101.5,-0.09,0.04,144,139,-1,0.0,0.0,-0.6,-0.1,-0.02,-0.05,0.00,0.00,0.00,0.00,-0.09,0.05,100,-1,1,-26,-32.6,-0.12,1.000,1.000,9.38,0,26,0,131.2,0.6,179.5,138.8,0.00,0,-3.2,2.8
0.95,climb,96.95,253.05,1.000,1,1410.7,264.0,481.8,101.5,0.00,0.12,143,139,-1,0.0,0.0,-0.9,-0.4,-0.04,-0.06,0.00,0.00,0.00,0.00,-0.02,0.10,100,-1,1,-28,-39.7,0.09,1.000,1.000,14.09,0,26,0,131.2,0.6,179.5,138.8,0.00,0,-2.7,3.4
1.05,climb,98.75,251.25,1.000,1,1410.8,264.0,481.8,101.5,0.13,0.16,143,139,-1,0.0,0.0,-1.2,-0.7,-0.05,-0.06,0.00,0.00,0.00,0.00,0.10,0.07,100,-1,1,-31,-43.7,0.18,1.000,1.000,17.18,0,26,0,131.2,0.6,179.5,138.8,0.00,0,-1.8,3.1
