t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav0,nav2,trihdg,trires,aimq
0.00,climb,149.50,200.50,0.378,1,2189.9,2087.8,-985.4,-101.3,0.00,0.00,40,40,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,2,-0.0,0.03,0.378,0.378,0.00,0,0,0,230.1,0.0,0.0,39.9,0.00,0
1.10,climb,157.02,192.98,1.000,1,2189.9,2087.9,-985.4,-101.4,0.18,0.18,42,45,-1,0.0,0.0,-0.4,-0.0,-0.03,-0.01,0.00,0.00,0.00,0.00,-0.01,0.25,99,-1,1,32,41.0,-0.18,1.000,1.000,19.51,0,22,0,225.4,0.2,0.2,44.6,0.00,0
2.30,climb,204.24,145.76,0.235,1,2190.1,2088.0,-985.6,-101.5,0.00,0.18,71,81,-1,0.0,0.0,-0.4,0.5,0.02,-0.01,0.00,0.00,0.00,0.00,-0.06,0.17,99,-1,0,40,45.6,-0.11,0.236,0.248,50.49,0,22,0,189.3,0.2,1.4,80.7,0.00,0
3.50,climb,258.92,91.08,0.151,1,2190.1,2088.3,-985.6,-101.8,0.00,0.18,113,127,-1,0.0,0.0,0.7,-0.0,0.01,0.00,0.00,0.00,0.00,0.00,0.07,0.16,99,-1,0,34,26.2,0.14,0.151,0.156,40.63,0,22,0,142.9,359.5,180.7,127.1,0.00,0
4.70,climb,300.38,49.62,0.000,1,2190.0,2088.5,-985.5,-102.0,-0.18,0.18,147,158,-1,0.0,0.0,0.1,-0.0,-0.01,-0.00,0.00,0.00,0.00,0.00,0.05,0.24,99,-1,1,29,23.8,0.10,0.000,0.000,29.37,0,22,0,112.0,359.7,180.1,158.0,0.00,0
5.90,climb,325.46,24.54,0.093,1,2189.9,2088.7,-985.4,-102.2,0.00,0.18,175,185,-1,0.0,0.0,-0.6,0.1,0.00,-0.02,0.00,0.00,0.00,0.00,0.18,0.01,99,-1,0,1,19.3,-0.37,0.094,0.102,14.25,0,22,0,85.4,174.6,179.6,184.6,0.00,0
6.60,cruise,332.36,17.64,0.285,1,2189.8,2088.8,-985.4,-102.3,-0.18,0.18,190,199,-1,-1.9,4.0,-0.3,0.4,-0.03,0.06,0.00,0.00,0.00,0.00,0.20,0.14,99,-1,0,-14,4.0,-0.45,0.288,0.316,7.99,0,22,0,70.7,178.4,179.4,199.3,0.00,0
7.10,cruise,336.08,13.92,0.223,1,2189.8,2088.8,-985.3,-102.4,0.00,-0.18,196,201,-1,-8.1,24.0,-1.2,1.9,-0.17,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0,-21,-23.7,-0.04,0.223,0.284,7.41,0,22,0,73.1,178.1,179.4,196.9,0.00,1
8.30,cruise,341.98,8.02,0.271,1,2189.0,2089.2,-984.7,-102.6,-2.29,0.70,182,174,-1,11.7,41.9,-0.6,24.7,-0.02,-0.11,0.49,0.00,0.00,0.00,0.77,1.82,99,-1,0,5,-0.4,0.20,0.272,0.305,3.84,0,22,0,98.3,27.9,175.6,170.7,0.00,1
9.50,cruise,344.59,5.41,0.374,1,2182.0,2090.4,-978.5,-103.9,-10.11,0.53,178,180,-1,6.1,47.5,9.7,42.5,-0.00,0.16,1.00,0.00,0.00,0.00,0.55,9.25,99,-1,0,-10,-5.6,-0.18,0.374,0.435,2.11,0,22,0,90.2,270.9,189.5,186.3,0.00,1
