t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,69.50,280.50,1.000,1,3829.1,-1725.4,1089.4,-2097.1,0.00,0.00,14,14,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-2,0.0,-0.03,1.000,1.000,0.00,0,0,0,255.5,360.0,360.0,14.5,0.00,0,-0.0,0.0
0.10,climb,69.50,280.50,1.000,1,3829.1,-1725.4,1089.4,-2097.1,0.00,0.00,14,14,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-5,-0.0,-0.09,1.000,1.000,0.00,0,0,0,255.5,360.0,360.0,14.5,0.00,0,-0.0,0.0
0.20,climb,69.50,280.50,1.000,1,3829.1,-1725.4,1089.4,-2097.1,0.00,0.00,14,14,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-8,-0.0,-0.15,1.000,1.000,0.00,0,0,0,255.5,360.0,360.0,14.5,0.00,0,-0.1,0.0
0.30,climb,69.51,280.49,1.000,1,3829.1,-1725.4,1089.4,-2097.1,0.00,0.00,14,14,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-11,-0.5,-0.21,1.000,1.000,0.05,0,0,0,255.5,360.0,360.0,14.5,0.00,0,-0.4,0.1
0.40,climb,69.57,280.43,1.000,1,3829.1,-1725.4,1089.4,-2097.1,0.00,0.00,14,13,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-13,-0.5,-0.26,1.000,1.000,0.37,0,0,0,255.5,359.9,360.0,14.5,0.00,0,-0.4,0.1
0.50,climb,69.77,280.23,1.000,1,3829.1,-1725.4,1089.4,-2097.1,0.00,-0.00,13,13,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,-0.00,-1,-1,1,-16,-2.0,-0.29,1.000,1.000,1.98,0,0,0,255.5,359.9,360.0,14.5,0.00,0,-0.5,0.1
0.60,climb,70.19,279.81,1.000,1,3829.1,-1725.4,1089.4,-2097.1,0.00,0.00,13,13,-1,0.0,0.0,-0.2,-0.0,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-19,-5.6,-0.28,1.000,1.000,3.59,0,0,0,255.5,359.9,360.0,14.5,0.00,0,-0.9,0.2
0.70,climb,70.92,279.08,1.000,1,3829.1,-1725.4,1089.4,-2097.1,0.00,-0.09,13,13,-1,0.0,0.0,-0.3,-0.0,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-22,-18.8,-0.22,1.000,1.000,6.48,0,0,0,255.5,359.9,360.0,14.5,0.00,0,-1.0,-0.5
0.80,climb,71.97,278.03,1.000,1,3829.1,-1725.4,1089.4,-2097.1,0.00,-0.09,13,9,-1,0.0,0.0,-0.4,0.0,0.01,-0.02,0.00,0.00,0.00,0.00,0.09,-0.02,99,-1,1,-25,-18.8,-0.12,1.000,1.000,9.66,0,26,0,259.9,357.8,359.6,10.1,0.00,0,-1.0,-0.5
0.90,climb,73.32,276.68,1.000,1,3829.1,-1725.4,1089.4,-2097.1,0.00,-0.18,12,9,-1,0.0,0.0,-0.4,0.2,0.03,-0.01,0.00,0.00,0.00,0.00,0.17,-0.04,99,-1,1,-27,-26.8,-0.01,1.000,1.000,12.81,0,26,0,259.9,357.8,359.6,10.1,0.00,0,-0.4,-1.5
1.00,climb,75.45,274.55,1.000,1,3829.1,-1725.4,1089.4,-2097.1,0.00,-0.26,12,9,-1,0.0,0.0,-0.4,0.4,0.04,0.00,0.00,0.00,0.00,0.00,0.26,-0.05,99,-1,1,-30,-33.4,0.07,1.000,1.000,15.92,0,26,0,259.9,357.8,359.6,10.1,0.00,0,-0.1,-2.0
1.10,climb,76.96,273.04,1.000,1,3829.1,-1725.5,1089.4,-2097.0,0.09,-0.35,11,9,-1,0.0,0.0,-0.3,0.6,0.03,0.01,0.00,0.00,0.00,0.00,0.26,-0.05,99,-1,1,-32,-39.2,0.10,1.000,1.000,19.00,0,26,0,259.9,357.8,359.6,10.1,0.00,0,0.7,-0.4
1.20,climb,79.24,270.76,1.000,1,3829.1,-1725.5,1089.4,-2097.0,0.09,-0.35,9,355,-1,0.0,0.0,-0.2,0.6,0.01,0.02,0.00,0.00,0.00,0.00,0.36,0.03,99,-1,1,-33,-39.2,0.12,1.000,1.000,22.05,0,26,0,273.9,183.3,359.8,356.1,0.00,0,0.7,-0.4
1.30,climb,81.82,268.18,1.000,1,3829.1,-1725.5,1089.4,-2097.0,0.18,-0.35,7,355,-1,0.0,0.0,-0.1,0.5,-0.02,0.01,0.00,0.00,0.00,0.00,0.37,0.13,99,-1,1,-34,-38.1,0.08,1.000,1.000,25.06,0,26,0,273.9,183.3,359.8,356.1,0.00,0,0.5,1.1
1.40,climb,84.71,265.29,1.000,1,3829.2,-1725.6,1089.4,-2096.9,0.35,-0.35,5,355,-1,0.0,0.0,-0.2,0.2,-0.04,-0.01,0.00,0.00,0.00,0.00,0.38,0.32,99,-1,1,-35,-29.4,-0.01,1.000,1.000,28.05,0,26,0,273.9,183.3,359.8,356.1,0.00,0,-2.1,3.7
1.50,climb,87.89,262.11,1.000,1,3829.2,-1725.6,1089.3,-2096.9,0.35,-0.35,4,355,-1,0.0,0.0,-0.4,-0.2,-0.06,-0.04,0.00,0.00,0.00,0.00,0.37,0.33,99,-1,1,-37,-29.4,-0.14,1.000,1.000,31.01,0,26,0,273.9,183.3,359.8,356.1,0.00,0,-2.1,3.7
1.60,climb,91.36,258.64,1.000,1,3829.2,-1725.6,1089.3,-2096.9,0.18,-0.26,0,343,-1,0.0,0.0,-0.9,-0.5,-0.05,-0.07,0.00,0.00,0.00,0.00,0.27,0.35,99,-1,1,-36,-20.8,-0.25,1.000,1.000,33.93,0,26,0,286.1,182.6,359.3,343.9,0.00,0,-5.0,2.1
1.70,climb,95.12,254.88,1.000,1,3829.2,-1725.7,1089.3,-2096.9,0.00,-0.35,358,343,-1,0.0,0.0,-1.4,-0.6,-0.02,-0.09,0.00,0.00,0.00,0.00,0.26,0.19,99,-1,1,-37,-20.7,-0.32,1.000,1.000,36.83,0,26,0,286.1,182.6,359.3,343.9,0.00,0,-5.1,-0.1
1.80,climb,99.15,250.85,1.000,1,3829.2,-1725.7,1089.3,-2096.8,0.00,-0.35,356,343,-1,0.0,0.0,-1.9,-0.5,0.01,-0.10,0.00,0.00,0.00,0.00,0.35,0.03,99,-1,1,-38,-20.7,-0.34,1.000,1.000,39.69,0,26,0,286.1,182.6,359.3,343.9,0.00,0,-5.1,-0.1
1.90,climb,103.47,246.53,1.000,1,3829.2,-1725.7,1089.3,-2096.8,-0.18,-0.53,354,343,-1,0.0,0.0,-2.2,-0.1,0.05,-0.07,0.00,0.00,0.00,0.00,0.54,-0.12,99,-1,1,-39,-23.9,-0.30,1.000,1.000,42.52,0,26,0,286.1,182.6,359.3,343.9,0.00,0,-3.7,-2.2
2.00,climb,108.06,241.94,1.000,1,3829.1,-1725.9,1089.3,-2096.7,-0.53,-1.10,351,333,-1,0.0,0.0,-2.2,0.5,0.09,-0.02,0.00,0.00,0.00,0.00,0.85,-0.30,99,-1,1,-39,-37.3,-0.18,1.000,1.000,45.31,0,26,0,296.0,185.0,357.6,334.0,0.00,0,3.1,-5.3
