t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,96.50,253.50,1.000,1,1892.5,365.5,125.0,62.0,0.00,0.00,269,269,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,-0.0,0.03,1.000,1.000,0.00,0,0,0,0.0,180.0,180.0,270.0,0.00,0,0.0,0.0
0.10,climb,96.50,253.50,1.000,1,1892.5,365.5,125.0,62.0,0.00,0.00,269,269,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,5,-0.0,0.09,1.000,1.000,0.00,0,0,0,0.0,180.0,180.0,270.0,0.00,0,0.0,0.0
0.20,climb,96.50,253.50,1.000,1,1892.5,365.5,125.0,62.0,0.00,0.00,269,269,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,7,0.0,0.15,1.000,1.000,0.00,0,0,0,0.0,180.0,180.0,270.0,0.00,0,0.0,0.0
0.30,climb,96.50,253.50,1.000,1,1892.5,365.5,125.0,62.0,0.00,0.00,269,269,-1,0.0,0.0,-0.0,-0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,11,0.0,0.21,1.000,1.000,0.00,0,0,0,0.0,180.0,180.0,270.0,0.00,0,0.0,0.0
0.40,climb,96.53,253.47,1.000,1,1892.5,365.5,125.0,62.0,0.00,0.00,269,269,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-1,-1,1,13,1.8,0.27,1.000,1.000,0.43,0,0,0,360.0,180.0,3.1,270.0,0.00,0,-0.3,0.1
0.50,climb,96.70,253.30,1.000,1,1892.5,365.5,125.0,62.0,0.00,0.00,269,269,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,16,5.4,0.29,1.000,1.000,1.24,0,0,0,360.0,180.0,3.1,270.0,0.00,0,-0.6,0.2
0.60,climb,97.09,252.91,1.000,1,1892.5,365.5,125.0,62.0,0.00,0.00,269,269,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,19,11.2,0.28,1.000,1.000,3.28,0,0,0,360.0,180.0,3.1,270.0,0.00,0,-1.0,0.4
0.70,climb,97.79,252.21,1.000,1,1892.5,365.5,125.0,62.0,0.00,0.00,269,269,-1,0.0,0.0,-0.2,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,22,11.2,0.22,1.000,1.000,6.18,0,0,0,360.0,180.0,3.1,270.0,0.00,0,-1.0,0.4
0.80,climb,98.81,251.19,1.000,1,1892.5,365.5,125.0,62.0,-0.13,0.04,270,273,-1,0.0,0.0,-0.3,-0.1,-0.01,-0.01,0.00,0.00,0.00,0.00,0.09,-0.01,95,-1,1,25,28.2,0.10,1.000,1.000,9.36,0,26,0,355.6,179.9,1.3,274.4,0.00,0,-0.1,-0.0
0.90,climb,100.14,249.86,1.000,1,1892.5,365.5,125.0,62.0,-0.18,0.07,270,273,-1,0.0,0.0,-0.2,-0.1,-0.00,-0.00,0.00,0.00,0.00,0.00,0.13,-0.04,95,-1,1,27,35.2,-0.02,1.000,1.000,12.51,0,26,0,355.6,179.9,1.3,274.4,0.00,0,0.3,-0.4
1.00,climb,101.77,248.23,1.000,1,1892.4,365.5,125.0,62.0,-0.26,0.10,271,273,-1,0.0,0.0,-0.2,-0.1,0.01,0.01,0.00,0.00,0.00,0.00,0.17,-0.07,95,-1,1,30,39.5,-0.11,1.000,1.000,15.62,0,26,0,355.6,179.9,1.3,274.4,0.00,0,0.9,-1.2
1.10,climb,103.72,246.28,1.000,1,1892.4,365.5,125.1,62.0,-0.26,0.11,271,273,-1,0.0,0.0,-0.1,0.0,0.02,0.01,0.00,0.00,0.00,0.00,0.26,-0.10,95,-1,1,32,40.6,-0.14,1.000,1.000,18.71,0,26,0,355.6,179.9,1.3,274.4,0.00,0,0.9,-1.4
