t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav0,nav2,trihdg,trires,aimq
0.00,climb,96.50,253.50,1.000,1,1892.5,365.5,-0.0,-600.0,0.00,0.00,270,270,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-2,0.0,-0.03,1.000,1.000,0.00,0,0,0,0.0,180.0,0.0,270.0,0.00,0
1.10,climb,104.05,245.95,1.000,1,1892.5,365.5,-0.0,-600.0,0.00,-0.18,268,266,-1,0.0,0.0,0.2,0.5,0.01,0.01,0.00,0.00,0.00,0.00,-0.01,0.18,100,-1,1,-8,-19.4,0.23,1.000,1.000,19.57,0,22,0,4.1,180.3,184.1,265.9,0.00,0
2.30,climb,152.23,197.77,0.432,1,1892.5,365.0,0.0,-599.5,-0.18,-0.52,262,261,-1,0.0,0.0,0.5,1.0,0.03,0.03,0.00,0.00,0.00,0.00,0.10,0.54,100,-1,0,-2,-23.9,0.44,0.437,0.462,54.70,0,22,0,8.7,180.4,182.4,261.3,0.00,0
3.50,climb,215.99,134.01,0.193,1,1892.3,364.1,0.2,-598.6,-0.18,-0.70,255,254,-1,0.0,0.0,-0.3,0.5,0.02,0.00,0.00,0.00,0.00,0.00,-0.02,0.72,100,-1,0,5,5.9,-0.01,0.193,0.201,48.38,0,22,0,15.7,180.2,180.8,254.3,0.00,0
4.70,climb,266.93,83.07,0.185,1,1892.1,363.2,0.4,-597.8,-0.09,-0.57,259,260,-1,0.0,0.0,0.6,-0.2,-0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.59,100,-1,0,1,3.0,-0.04,0.185,0.195,37.88,0,22,0,9.7,179.8,179.0,260.3,0.00,0
5.90,climb,305.34,44.66,0.000,1,1892.1,362.7,0.4,-597.2,0.09,-0.48,262,263,-1,0.0,0.0,0.7,0.2,0.01,0.00,0.00,0.00,0.00,0.00,-0.15,0.47,100,-1,1,-2,1.0,-0.06,0.000,0.000,26.86,0,22,0,7.1,180.2,181.6,262.9,0.00,0
7.10,climb,327.46,22.54,0.149,1,1892.2,362.1,0.3,-596.6,0.09,-0.42,263,264,-1,0.0,0.0,0.4,-0.3,-0.01,-0.00,0.00,0.00,0.00,0.00,-0.14,0.40,100,-1,0,-3,0.5,-0.08,0.149,0.151,11.90,0,22,0,6.2,179.9,179.0,263.8,0.00,0
7.70,cruise,332.79,17.21,0.272,1,1892.3,361.9,0.2,-596.4,0.04,-0.37,264,264,-1,3.2,4.0,-0.1,0.2,-0.03,-0.06,0.00,0.00,0.00,0.00,-0.08,0.37,100,-1,0,-4,-0.5,-0.07,0.272,0.297,7.91,0,22,0,5.8,180.0,180.3,264.2,0.00,0
8.30,cruise,337.07,12.93,0.219,1,1892.2,361.7,0.3,-596.2,-0.09,-0.29,264,263,-1,6.0,28.0,1.2,2.9,-0.12,0.03,0.00,0.00,0.00,0.00,0.06,0.29,100,-1,0,-2,-3.9,0.03,0.219,0.260,6.85,0,22,0,7.6,183.1,202.1,262.4,0.00,1
9.50,cruise,342.35,7.65,0.274,1,1892.3,360.5,0.2,-595.0,0.09,-2.76,262,260,-1,9.1,42.9,4.9,26.8,-0.06,-0.02,0.57,0.00,0.00,0.00,-0.48,2.72,100,-1,0,-1,0.0,-0.02,0.274,0.294,3.67,0,22,0,9.9,207.5,251.4,261.2,0.00,1
