t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,68.50,281.50,0.378,1,2624.1,-3426.0,1604.4,34.5,0.00,0.00,231,231,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,2,0.0,0.03,0.378,0.378,0.00,0,0,0,37.9,180.0,180.0,232.1,0.00,0,0.0,0.0
0.10,climb,68.50,281.50,0.642,1,2624.1,-3426.0,1604.4,34.5,0.00,0.00,231,231,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,4,0.0,0.09,0.643,0.643,0.00,0,0,0,37.9,180.0,180.0,232.1,0.00,0,0.0,-0.0
0.20,climb,68.50,281.50,0.917,1,2624.1,-3426.0,1604.4,34.5,0.00,0.00,231,231,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,7,0.0,0.15,0.919,0.919,0.00,0,0,0,37.9,180.0,180.0,232.1,0.00,0,0.0,-0.0
0.30,climb,68.50,281.50,1.000,1,2624.1,-3426.0,1604.4,34.5,0.00,0.00,231,231,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,10,0.0,0.21,1.000,1.000,0.00,0,0,0,37.9,180.0,180.0,232.1,0.00,0,0.0,0.0
0.40,climb,68.54,281.46,1.000,1,2624.1,-3426.0,1604.4,34.5,0.00,0.00,231,231,-1,0.0,0.0,-0.0,0.0,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,13,1.7,0.27,1.000,1.000,0.19,0,0,0,37.8,180.0,180.0,232.2,0.00,0,-0.2,-0.2
0.50,climb,68.70,281.30,1.000,1,2624.1,-3426.0,1604.4,34.5,0.00,0.00,231,231,-1,0.0,0.0,-0.1,0.1,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,16,1.7,0.29,1.000,1.000,1.20,0,0,0,37.8,180.0,180.0,232.2,0.00,0,-0.2,-0.2
0.60,climb,69.09,280.91,1.000,1,2624.1,-3426.0,1604.4,34.5,0.00,0.00,231,231,-1,0.0,0.0,-0.1,0.1,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,19,11.2,0.28,1.000,1.000,3.25,0,0,0,37.8,180.0,180.0,232.2,0.00,0,-1.0,0.2
0.70,climb,69.79,280.21,1.000,1,2624.1,-3426.0,1604.4,34.5,-0.09,0.00,231,231,-1,0.0,0.0,-0.2,0.0,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,22,18.7,0.23,1.000,1.000,6.14,0,0,0,37.8,180.0,180.0,232.2,0.00,0,-0.7,1.0
0.80,climb,70.80,279.20,1.000,1,2624.0,-3426.0,1604.4,34.5,-0.18,0.00,232,235,-1,0.0,0.0,-0.3,-0.1,-0.02,-0.01,0.00,0.00,0.00,0.00,0.07,0.05,99,-1,1,25,26.0,0.12,1.000,1.000,9.32,0,26,0,33.5,179.7,179.6,236.5,0.00,0,-0.1,1.7
0.90,climb,72.13,277.87,1.000,1,2624.0,-3426.0,1604.5,34.5,-0.18,0.00,232,235,-1,0.0,0.0,-0.3,-0.3,-0.03,-0.00,0.00,0.00,0.00,0.00,0.14,0.11,99,-1,1,27,26.0,0.03,1.000,1.000,12.47,0,26,0,33.5,179.7,179.6,236.5,0.00,0,-0.1,1.7
