t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,69.50,280.50,1.000,1,-667.8,2827.9,2560.3,-2462.4,0.00,0.00,89,89,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-2,0.0,-0.03,1.000,1.000,0.00,0,0,0,180.2,0.0,0.0,89.8,0.00,0,0.0,0.0
0.10,climb,69.50,280.50,1.000,1,-667.8,2827.9,2560.3,-2462.4,0.00,0.00,89,89,-1,0.0,0.0,0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-4,0.0,-0.09,1.000,1.000,0.00,0,0,0,180.2,0.0,0.0,89.8,0.00,0,0.0,0.0
0.20,climb,69.50,280.50,1.000,1,-667.8,2827.9,2560.3,-2462.4,0.00,0.00,89,89,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-8,0.0,-0.15,1.000,1.000,0.00,0,0,0,180.2,0.0,0.0,89.8,0.00,0,0.0,0.0
0.30,climb,69.51,280.49,1.000,1,-667.8,2827.9,2560.3,-2462.4,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-11,-0.0,-0.21,1.000,1.000,0.04,0,0,0,180.2,0.0,0.0,89.8,0.00,0,-0.2,0.3
0.40,climb,69.57,280.43,1.000,1,-667.8,2827.9,2560.3,-2462.4,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-13,-2.0,-0.27,1.000,1.000,0.36,0,0,0,180.2,360.0,353.1,89.8,0.00,0,-0.5,0.2
0.50,climb,69.77,280.23,1.000,1,-667.8,2827.9,2560.3,-2462.4,0.00,0.00,89,89,-1,0.0,0.0,-0.1,-0.1,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-16,-2.0,-0.29,1.000,1.000,1.55,0,0,0,180.2,360.0,353.1,89.8,0.00,0,-0.5,0.2
0.60,climb,70.20,279.80,1.000,1,-667.8,2827.9,2560.3,-2462.4,0.00,0.00,89,89,-1,0.0,0.0,-0.2,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-19,-5.5,-0.28,1.000,1.000,3.59,0,0,0,180.2,360.0,353.1,89.8,0.00,0,-0.9,0.3
0.70,climb,70.92,279.08,1.000,1,-667.8,2827.9,2560.3,-2462.4,0.04,0.00,89,89,-1,0.0,0.0,-0.3,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,0.04,0.00,-1,-1,1,-22,-11.2,-0.23,1.000,1.000,6.48,0,0,0,180.2,360.0,353.1,89.8,0.00,0,-1.3,0.3
0.80,climb,71.97,278.03,1.000,1,-667.8,2827.9,2560.3,-2462.4,0.09,0.00,88,84,-1,0.0,0.0,-0.4,-0.0,0.01,-0.02,0.00,0.00,0.00,0.00,0.09,0.00,91,-1,1,-25,-18.9,-0.12,1.000,1.000,9.66,0,26,0,184.6,360.0,359.4,85.4,0.00,0,-1.0,-0.4
0.90,climb,73.32,276.68,1.000,1,-667.8,2827.9,2560.3,-2462.4,0.15,-0.18,88,84,-1,0.0,0.0,-0.4,0.2,0.03,-0.01,0.00,0.00,0.00,0.00,0.16,-0.17,91,-1,1,-27,-27.0,-0.00,1.000,1.000,12.80,0,26,0,184.6,360.0,359.4,85.4,0.00,0,-0.3,-1.4
1.00,climb,74.99,275.01,1.000,1,-667.7,2827.9,2560.3,-2462.4,0.33,-0.18,87,84,-1,0.0,0.0,-0.3,0.4,0.04,0.01,0.00,0.00,0.00,0.00,0.25,-0.16,91,-1,1,-30,-38.5,0.09,1.000,1.000,15.91,0,26,0,184.6,360.0,359.4,85.4,0.00,0,1.7,-1.7
1.10,climb,76.96,273.04,1.000,1,-667.7,2827.8,2560.2,-2462.4,0.40,0.00,87,84,-1,0.0,0.0,-0.1,0.6,0.03,0.03,0.00,0.00,0.00,0.00,0.34,-0.16,91,-1,1,-32,-39.6,0.12,1.000,1.000,18.99,0,26,0,184.6,360.0,359.4,85.4,0.00,0,2.0,-1.3
1.20,climb,79.24,270.76,1.000,1,-667.7,2827.8,2560.2,-2462.3,0.40,0.00,84,70,-1,0.0,0.0,0.1,0.7,0.02,0.04,0.00,0.00,0.00,0.00,0.39,0.04,91,-1,1,-33,-39.6,0.13,1.000,1.000,22.04,0,26,0,198.9,0.7,2.1,71.1,0.00,0,2.0,-1.3
1.30,climb,81.82,268.18,1.000,1,-667.6,2827.8,2560.1,-2462.3,0.40,0.00,82,70,-1,0.0,0.0,0.3,0.6,0.00,0.02,0.00,0.00,0.00,0.00,0.39,0.05,91,-1,1,-34,-37.5,0.07,1.000,1.000,25.06,0,26,0,198.9,0.7,2.1,71.1,0.00,0,1.3,-0.3
1.40,climb,84.70,265.30,1.000,1,-667.6,2827.9,2560.1,-2462.4,0.37,0.18,80,70,-1,0.0,0.0,0.3,0.5,-0.02,-0.00,0.00,0.00,0.00,0.00,0.34,0.24,91,-1,1,-35,-33.6,-0.03,1.000,1.000,28.05,0,26,0,198.9,0.7,2.1,71.1,0.00,0,-0.1,1.2
1.50,climb,87.88,262.12,1.000,1,-667.5,2827.9,2560.1,-2462.4,0.31,0.35,79,70,-1,0.0,0.0,0.0,0.1,-0.05,-0.03,0.00,0.00,0.00,0.00,0.27,0.32,91,-1,1,-36,-24.6,-0.15,1.000,1.000,31.00,0,26,0,198.9,0.7,2.1,71.1,0.00,0,-3.8,4.0
1.60,climb,91.35,258.65,1.000,1,-667.5,2828.0,2560.0,-2462.4,0.26,0.35,76,58,-1,0.0,0.0,-0.4,-0.3,-0.07,-0.07,0.00,0.00,0.00,0.00,0.21,0.42,91,-1,1,-36,-21.8,-0.24,1.000,1.000,33.93,0,26,0,210.9,359.5,359.1,59.1,0.00,0,-5.0,4.5
1.70,climb,95.11,254.89,1.000,1,-667.5,2828.0,2560.0,-2462.5,0.29,0.18,73,58,-1,0.0,0.0,-0.9,-0.7,-0.07,-0.09,0.00,0.00,0.00,0.00,0.15,0.41,91,-1,1,-37,-21.8,-0.30,1.000,1.000,36.82,0,26,0,210.9,359.5,359.1,59.1,0.00,0,-5.1,3.5
1.80,climb,99.16,250.84,1.000,1,-667.5,2828.0,2560.0,-2462.5,0.29,0.18,71,58,-1,0.0,0.0,-1.5,-1.0,-0.05,-0.09,0.00,0.00,0.00,0.00,0.21,0.26,91,-1,1,-37,-21.8,-0.31,1.000,1.000,39.69,0,26,0,210.9,359.5,359.1,59.1,0.00,0,-5.1,3.5
1.90,climb,103.48,246.52,1.000,1,-667.4,2827.9,2560.0,-2462.5,0.44,-0.44,69,58,-1,0.0,0.0,-1.8,-1.0,-0.01,-0.07,0.00,0.00,0.00,0.00,0.34,0.04,91,-1,1,-39,-30.5,-0.28,1.000,1.000,42.52,0,26,0,210.9,359.5,359.1,59.1,0.00,0,-0.9,-1.3
