t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,77.16,272.84,1.000,1,1402.9,2237.1,11.6,26.4,0.00,0.00,16,16,-1,0.0,0.0,1.4,-9.2,-0.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.03,1.000,1.000,0.00,0,0,0,254.1,355.6,358.7,15.9,0.00,0,-0.4,-0.0
0.10,climb,77.16,272.84,1.000,1,1402.9,2237.1,11.6,26.4,0.00,0.00,16,16,-1,0.0,0.0,1.4,-9.2,-0.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,4,0.0,0.09,1.000,1.000,0.00,0,0,0,254.1,355.6,358.7,15.9,0.00,0,0.0,0.0
0.20,climb,77.16,272.84,1.000,1,1402.9,2237.1,11.6,26.4,-0.05,0.00,16,16,-1,0.0,0.0,1.4,-9.2,-0.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,7,-0.2,0.15,1.000,1.000,0.00,0,0,0,254.1,355.6,358.7,15.9,0.00,0,0.3,0.8
0.30,climb,77.16,272.84,1.000,1,1402.8,2237.1,11.6,26.4,-0.31,0.00,16,16,-1,0.0,0.0,1.4,-9.2,-0.10,0.02,0.00,0.00,0.00,0.00,-0.01,-0.04,-1,-1,1,11,0.0,0.21,1.000,1.000,0.05,0,0,0,254.1,355.6,358.7,15.9,0.00,0,0.0,0.0
0.40,climb,77.22,272.78,1.000,1,1402.8,2237.1,11.7,26.4,-0.75,0.00,16,16,-1,0.0,0.0,1.4,-9.0,-0.07,0.02,0.00,0.00,0.00,0.00,-0.08,-0.30,-1,-1,1,13,2.3,0.27,1.000,1.000,0.35,0,0,0,254.1,355.8,358.8,15.9,0.00,0,-0.2,-3.3
0.50,climb,77.41,272.59,1.000,1,1402.7,2237.1,11.7,26.4,-1.36,-0.06,16,16,-1,0.0,0.0,1.4,-8.6,-0.03,0.02,0.00,0.00,0.00,0.00,-0.20,-0.72,-1,-1,1,16,5.4,0.28,1.000,1.000,1.48,0,0,0,254.1,355.8,358.8,15.9,0.00,0,0.3,-7.0
0.60,climb,77.79,272.21,1.000,1,1402.6,2237.1,11.8,26.4,-0.81,0.35,16,16,-1,0.0,0.0,1.6,-7.6,0.07,0.04,0.00,0.00,0.00,0.00,-0.31,-1.33,-1,-1,1,19,27.7,0.28,1.000,1.000,3.43,0,0,0,254.1,355.8,358.8,15.9,0.00,0,-2.7,-16.0
0.70,climb,78.41,271.59,1.000,1,1402.6,2237.1,11.9,26.4,-0.81,0.35,16,16,-1,0.0,0.0,1.6,-5.8,0.20,0.02,0.00,0.00,0.00,0.00,-0.55,-0.68,-1,-1,1,22,27.7,-0.11,1.000,1.000,5.63,0,0,0,254.1,355.8,358.8,15.9,0.00,0,-2.7,-16.0
0.80,climb,79.33,270.67,1.000,1,1402.3,2237.2,12.1,26.4,-1.73,0.55,17,24,-1,0.0,0.0,1.4,-3.8,0.26,-0.02,0.00,0.00,0.00,0.00,-0.68,-1.31,99,-1,1,24,30.8,-0.22,1.000,1.000,8.76,0,26,0,246.0,359.3,359.7,23.9,0.00,0,-7.5,-16.4
0.90,climb,80.55,269.45,1.000,1,1402.2,2237.3,12.2,26.3,-0.72,1.27,18,24,-1,0.0,0.0,0.7,-2.4,0.18,-0.10,0.00,0.00,0.00,0.00,-1.05,-1.47,99,-1,1,26,25.6,-0.09,1.000,1.000,11.78,0,26,0,246.0,359.3,359.7,23.9,0.00,0,-11.4,-0.9
1.00,climb,82.06,267.94,1.000,1,1402.1,2237.4,12.3,26.2,-0.43,1.41,19,24,-1,0.0,0.0,-0.4,-2.5,-0.05,-0.16,0.00,0.00,0.00,0.00,-1.44,-0.26,99,-1,1,28,27.7,0.05,1.000,1.000,14.27,0,26,0,246.0,359.3,359.7,23.9,0.00,0,-10.7,11.0
1.10,climb,83.89,266.11,1.000,1,1402.1,2237.4,12.4,26.1,-0.43,1.41,20,24,-1,0.0,0.0,-1.3,-3.7,-0.23,-0.15,0.00,0.00,0.00,0.00,-1.47,0.07,99,-1,1,31,27.7,0.06,1.000,1.000,17.32,0,26,0,246.0,359.3,359.7,23.9,0.00,0,-10.7,11.0
1.20,climb,86.04,263.96,1.000,1,1402.1,2237.5,12.4,26.0,-0.35,1.23,22,34,-1,0.0,0.0,-2.1,-5.6,-0.34,-0.13,0.00,0.00,0.00,0.00,-1.27,0.13,99,-1,1,31,21.7,0.19,1.000,1.000,20.43,0,26,0,236.2,351.3,354.2,34.1,0.00,0,-10.4,16.1
1.30,climb,88.48,261.52,1.000,1,1402.0,2237.6,12.5,25.9,-0.66,-0.09,24,34,-1,0.0,0.0,-2.3,-7.6,-0.39,-0.05,0.00,0.00,0.00,0.00,-0.80,-0.08,99,-1,1,33,21.5,0.23,1.000,1.000,23.44,0,26,0,236.2,351.3,354.2,34.1,0.00,0,0.6,16.8
1.40,climb,91.21,258.79,1.000,1,1402.0,2237.6,12.5,25.9,-0.66,-0.09,25,34,-1,0.0,0.0,-1.8,-9.2,-0.33,0.06,0.00,0.00,0.00,0.00,-0.20,-0.63,99,-1,1,31,21.5,0.19,1.000,1.000,26.37,0,26,0,236.2,351.3,354.2,34.1,0.00,0,0.6,16.8
1.50,climb,94.20,255.80,1.000,1,1401.7,2237.4,12.6,25.9,-2.11,-2.20,26,34,-1,0.0,0.0,-0.5,-9.6,-0.17,0.18,0.00,0.00,0.00,0.00,0.48,-1.61,99,-1,1,30,27.7,0.12,1.000,1.000,29.18,0,26,0,236.2,351.3,354.2,34.1,0.00,0,11.9,-6.8
1.60,climb,97.45,252.55,1.000,1,1401.4,2237.1,12.8,26.1,-3.03,-3.08,29,43,-1,0.0,0.0,1.2,-8.5,0.07,0.26,0.00,0.00,0.00,0.00,0.91,-2.91,99,-1,1,27,31.9,-0.01,1.000,1.000,31.91,0,26,0,226.9,352.7,353.2,43.3,0.00,0,12.9,-22.0
1.70,climb,100.94,249.06,1.000,1,1401.4,2237.1,13.1,26.4,-3.03,-3.08,31,43,-1,0.0,0.0,2.8,-5.9,0.33,0.27,0.00,0.00,0.00,0.00,1.08,-4.18,99,-1,1,25,31.9,-0.13,1.000,1.000,34.62,0,26,0,226.9,352.7,353.2,43.3,0.00,0,12.9,-22.0
1.80,climb,104.69,245.31,1.000,1,1400.6,2236.4,13.5,26.8,-4.66,-3.43,33,43,-1,0.0,0.0,3.8,-2.1,0.54,0.18,0.00,0.00,0.00,0.00,0.82,-5.23,99,-1,1,23,35.1,-0.23,1.000,1.000,37.37,0,26,0,226.9,352.7,353.2,43.3,0.00,0,0.8,-39.2
1.90,climb,108.70,241.30,1.000,1,1400.6,2236.4,13.9,27.1,-4.66,-3.43,34,43,-1,0.0,0.0,3.6,2.0,0.62,0.01,0.00,0.00,0.00,0.00,0.20,-5.78,99,-1,1,22,35.1,-0.26,1.000,1.000,40.17,0,26,0,226.9,352.7,353.2,43.3,0.00,0,0.8,-39.2
2.00,climb,114.12,235.88,1.000,1,1399.6,2235.9,14.4,27.4,-4.79,-1.41,38,56,-1,0.0,0.0,2.1,5.3,0.53,-0.20,0.00,0.00,0.00,0.00,-0.94,-5.54,99,-1,1,19,24.0,-0.25,1.000,1.000,42.93,0,26,0,214.0,6.7,9.9,56.2,0.00,0,-21.0,-19.3
2.10,climb,117.59,232.41,1.000,1,1399.6,2235.9,14.9,27.6,-4.79,-1.41,40,56,-1,0.0,0.0,-0.4,6.7,0.27,-0.38,0.00,0.00,0.00,0.00,-2.03,-4.56,99,-1,1,16,24.0,-0.16,1.000,1.000,45.57,0,26,0,214.0,6.7,9.9,56.2,0.00,0,-21.0,-19.3
2.20,climb,122.48,227.52,0.940,1,1399.2,2235.9,15.3,27.6,-4.09,0.00,43,56,-1,0.0,0.0,-3.3,5.7,-0.10,-0.46,0.00,0.00,0.00,0.00,-2.77,-3.00,99,-1,1,14,15.6,-0.04,0.940,1.000,48.09,0,26,0,214.0,6.7,9.9,56.2,0.00,0,-27.3,3.4
2.30,climb,127.66,222.34,0.800,1,1398.8,2236.0,15.7,27.5,-2.94,1.23,45,56,-1,0.0,0.0,-5.8,2.3,-0.50,-0.42,0.00,0.00,0.00,0.00,-2.95,-1.23,99,-1,1,12,7.9,0.07,0.800,1.000,50.56,0,26,0,214.0,6.7,9.9,56.2,0.00,0,-26.2,28.2
2.40,climb,133.09,216.91,0.656,1,1398.6,2236.3,15.9,27.3,-0.53,1.32,47,60,-1,0.0,0.0,-7.0,-2.7,-0.78,-0.26,0.00,0.00,0.00,0.00,-2.39,0.18,99,-1,1,9,-0.4,0.14,0.657,1.000,52.94,0,26,0,210.2,353.2,348.4,59.7,0.00,0,-0.6,53.1
2.50,climb,138.69,211.31,0.528,1,1398.6,2236.4,15.9,27.2,0.04,0.26,49,60,-1,0.0,0.0,-6.7,-7.9,-0.85,-0.02,0.01,0.00,0.00,0.00,-1.26,0.65,99,-1,0,7,0.7,0.15,0.529,0.876,54.86,0,26,0,210.2,353.2,348.4,59.7,0.00,0,16.1,42.2
2.60,climb,144.37,205.63,0.429,1,1398.6,2236.3,15.9,27.1,0.13,-1.05,51,60,-1,0.0,0.0,-4.8,-11.5,-0.68,0.23,0.08,0.00,0.00,0.00,-0.13,0.23,99,-1,0,5,4.1,0.10,0.430,0.794,56.10,0,26,0,210.2,353.2,348.4,59.7,0.00,0,28.0,20.2
2.70,climb,150.06,199.94,0.362,1,1398.6,2236.1,15.9,27.2,-0.22,-2.11,52,60,-1,0.0,0.0,-1.7,-12.9,-0.35,0.42,0.10,0.00,0.00,0.00,0.75,-0.75,99,-1,0,4,9.2,0.00,0.362,0.670,56.64,0,26,0,210.2,353.2,348.4,59.7,0.00,0,31.7,-4.3
2.80,climb,155.70,194.30,0.324,1,1398.6,2236.1,15.9,27.4,-0.22,-2.11,53,59,-1,0.0,0.0,1.6,-11.9,0.01,0.50,0.07,0.00,0.00,0.00,1.09,-1.82,99,-1,0,3,9.2,-0.12,0.324,0.527,56.58,0,26,0,210.9,349.0,342.0,59.6,0.00,0,31.7,-4.3
2.90,climb,161.29,188.71,0.292,1,1398.4,2235.5,16.0,27.7,-1.27,-3.43,54,59,-1,0.0,0.0,4.6,-9.1,0.32,0.47,0.01,0.00,0.00,0.00,1.14,-2.76,99,-1,1,2,18.1,-0.22,0.293,0.586,56.35,0,26,0,210.9,349.0,342.0,59.6,0.00,0,20.5,-35.3
3.00,climb,166.80,183.20,0.270,1,1398.2,2235.1,16.1,28.0,-1.76,-3.52,55,59,-1,0.0,0.0,6.6,-5.3,0.49,0.35,0.00,0.00,0.00,0.00,0.95,-3.53,99,-1,1,2,21.3,-0.33,0.272,0.544,55.90,0,26,0,210.9,349.0,342.0,59.6,0.00,0,9.3,-37.4
3.10,climb,172.25,177.75,0.257,1,1398.0,2234.8,16.3,28.4,-2.15,-3.25,55,59,-1,0.0,0.0,7.3,-1.4,0.55,0.19,0.00,0.00,0.00,0.00,0.56,-3.89,99,-1,1,1,21.8,-0.41,0.260,0.519,55.28,0,26,0,210.9,349.0,342.0,59.6,0.00,0,-0.9,-33.7
3.20,climb,177.65,172.35,0.238,1,1397.8,2234.5,16.5,28.7,-2.42,-2.90,57,67,-1,0.0,0.0,7.0,2.1,0.51,0.02,0.00,0.00,0.00,0.00,-0.04,-3.90,99,-1,0,-1,21.0,-0.45,0.241,0.456,54.75,0,26,0,203.4,5.1,11.7,66.5,0.00,0,-8.4,-25.6
3.30,climb,183.00,167.00,0.224,1,1397.5,2234.3,16.7,29.0,-2.55,-2.46,59,67,-1,0.0,0.0,5.9,4.6,0.40,-0.10,0.00,0.00,0.00,0.00,-0.55,-3.74,99,-1,0,-2,20.0,-0.47,0.227,0.427,54.11,0,26,0,203.4,5.1,11.7,66.5,0.00,0,-11.8,-15.2
3.40,climb,188.29,161.71,0.216,1,1397.5,2234.3,17.0,29.2,-2.55,-2.46,60,67,-1,0.0,0.0,4.6,6.1,0.26,-0.16,0.00,0.00,0.00,0.00,-0.97,-3.41,99,-1,0,-4,20.0,-0.47,0.219,0.385,53.34,0,26,0,203.4,5.1,11.7,66.5,0.00,0,-11.8,-15.2
3.50,climb,193.52,156.48,0.209,1,1397.0,2233.9,17.2,29.5,-2.46,-1.67,61,67,-1,0.0,0.0,3.1,6.4,0.09,-0.18,0.00,0.00,0.00,0.00,-1.24,-3.01,99,-1,0,-5,14.9,-0.45,0.211,0.322,52.57,0,26,0,203.4,5.1,11.7,66.5,0.00,0,-11.8,4.3
3.60,climb,198.68,151.32,0.206,1,1397.0,2233.9,17.5,29.6,-2.46,-1.67,63,73,-1,0.0,0.0,1.8,5.8,-0.04,-0.17,0.00,0.00,0.00,0.00,-1.42,-2.61,99,-1,0,-7,14.9,-0.43,0.208,0.290,51.70,0,26,0,196.9,6.4,20.2,73.2,0.00,0,-11.8,4.3
3.70,climb,203.75,146.25,0.208,1,1396.6,2233.6,17.7,29.8,-2.20,-1.14,64,73,-1,0.0,0.0,0.9,4.8,-0.12,-0.13,0.00,0.00,0.00,0.00,-1.49,-2.28,99,-1,0,-8,9.7,-0.41,0.210,0.310,50.72,0,26,0,196.9,6.4,20.2,73.2,0.00,0,-6.0,11.9
3.80,climb,208.73,141.27,0.211,1,1396.4,2233.5,17.9,29.9,-2.11,-1.05,66,73,-1,0.0,0.0,0.3,3.6,-0.15,-0.08,0.00,0.00,0.00,0.00,-1.53,-1.95,99,-1,0,-9,6.7,-0.38,0.213,0.308,49.74,0,26,0,196.9,6.4,20.2,73.2,0.00,0,-3.0,11.3
3.90,climb,213.61,136.39,0.210,1,1396.4,2233.5,18.1,30.0,-2.11,-1.05,67,73,-1,0.0,0.0,0.0,2.5,-0.15,-0.04,0.00,0.00,0.00,0.00,-1.52,-1.80,99,-1,0,-11,6.7,-0.34,0.211,0.287,48.86,0,26,0,196.9,6.4,20.2,73.2,0.00,0,-3.0,11.3
4.00,climb,218.41,131.59,0.205,1,1396.0,2233.3,18.3,30.1,-1.93,-0.88,68,76,-1,0.0,0.0,-0.0,1.7,-0.13,-0.01,0.00,0.00,0.00,0.00,-1.55,-1.57,99,-1,0,-12,0.4,-0.31,0.206,0.259,48.03,0,26,0,194.0,1.7,6.7,76.0,0.00,0,0.4,6.5
