t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,77.50,272.50,1.000,1,959.3,505.9,933.2,-140.4,0.00,0.00,122,122,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-2,0.0,-0.03,1.000,1.000,0.00,0,0,0,146.9,0.0,180.0,123.1,0.00,0,0.0,-0.0
0.10,climb,77.50,272.50,1.000,1,959.3,505.9,933.2,-140.4,0.00,0.00,122,122,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-4,0.0,-0.09,1.000,1.000,0.00,0,0,0,146.9,0.0,180.0,123.1,0.00,0,0.0,-0.0
0.20,climb,77.50,272.50,1.000,1,959.3,505.9,933.2,-140.4,0.00,0.00,122,122,-1,0.0,0.0,0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-7,-0.1,-0.15,1.000,1.000,0.00,0,0,0,146.9,0.0,180.0,123.1,0.00,0,-0.5,0.3
0.30,climb,77.51,272.49,1.000,1,959.3,505.9,933.2,-140.4,0.00,0.00,122,122,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-11,-0.1,-0.21,1.000,1.000,0.04,0,0,0,146.9,0.0,180.0,123.1,0.00,0,-0.5,0.3
0.40,climb,77.57,272.43,1.000,1,959.3,505.9,933.2,-140.4,0.00,0.00,122,122,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-13,-2.0,-0.26,1.000,1.000,0.36,0,0,0,146.9,0.0,180.0,123.1,0.00,0,-0.6,0.2
0.50,climb,77.77,272.23,1.000,1,959.3,505.9,933.2,-140.4,0.00,0.00,122,122,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-16,-5.6,-0.29,1.000,1.000,1.55,0,0,0,146.9,0.0,180.0,123.1,0.00,0,-1.0,0.3
0.60,climb,78.19,271.81,1.000,1,959.3,505.9,933.2,-140.4,0.00,0.00,122,122,-1,0.0,0.0,-0.2,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-19,-5.6,-0.28,1.000,1.000,3.59,0,0,0,146.9,0.0,180.0,123.1,0.00,0,-1.0,0.3
0.70,climb,78.92,271.08,1.000,1,959.3,505.9,933.2,-140.4,0.11,0.00,122,122,-1,0.0,0.0,-0.4,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,0.04,-0.02,-1,-1,1,-22,-18.9,-0.22,1.000,1.000,6.48,0,0,0,146.9,0.0,180.0,123.1,0.00,0,-1.0,-0.5
0.80,climb,79.97,270.03,1.000,1,959.3,505.9,933.2,-140.4,0.11,0.00,121,118,-1,0.0,0.0,-0.4,0.0,0.01,-0.02,0.00,0.00,0.00,0.00,0.09,-0.06,78,-1,1,-25,-18.9,-0.12,1.000,1.000,9.66,0,26,0,151.3,0.3,179.5,118.7,0.00,0,-1.0,-0.5
0.90,climb,81.32,268.68,1.000,1,959.3,505.9,933.2,-140.4,0.20,0.00,121,118,-1,0.0,0.0,-0.4,0.2,0.03,-0.01,0.00,0.00,0.00,0.00,0.17,-0.10,78,-1,1,-27,-27.1,-0.00,1.000,1.000,12.80,0,26,0,151.3,0.3,179.5,118.7,0.00,0,-0.3,-1.5
