t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,96.50,253.50,1.000,1,1892.5,365.5,482.0,-3633.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.03,1.000,1.000,0.00,0,0,0,180.0,0.0,315.0,90.0,0.00,0,0.0,0.0
0.10,climb,96.50,253.50,1.000,1,1892.5,365.5,482.0,-3633.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,5,-0.0,0.09,1.000,1.000,0.00,0,0,0,180.0,0.0,315.0,90.0,0.00,0,-0.0,0.0
0.20,climb,96.50,253.50,1.000,1,1892.5,365.5,482.0,-3633.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,8,-0.0,0.15,1.000,1.000,0.00,0,0,0,180.0,0.0,315.0,90.0,0.00,0,-0.0,0.0
0.30,climb,96.50,253.50,1.000,1,1892.5,365.5,482.0,-3633.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,10,0.0,0.21,1.000,1.000,0.00,0,0,0,180.0,0.0,315.0,90.0,0.00,0,0.0,0.0
0.40,climb,96.50,253.50,1.000,1,1892.5,365.5,482.0,-3633.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,13,0.0,0.27,1.000,1.000,0.00,0,0,0,180.0,0.0,180.0,90.0,0.00,0,-0.0,0.0
0.50,climb,96.50,253.50,1.000,1,1892.5,365.5,482.0,-3633.0,-0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,16,1.9,0.33,1.000,1.000,0.00,0,0,0,180.0,0.0,180.0,90.0,0.00,0,-0.2,0.1
0.60,climb,96.67,253.33,1.000,1,1892.5,365.5,482.0,-3633.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-1,-1,1,19,8.1,0.35,1.000,1.000,1.03,0,0,0,180.0,0.0,180.0,90.0,0.00,0,-0.6,0.2
0.70,climb,97.15,252.85,1.000,1,1892.5,365.5,482.0,-3633.0,0.00,0.00,89,89,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,22,8.1,0.29,1.000,1.000,3.94,0,0,0,180.0,0.0,180.0,90.0,0.00,0,-0.6,0.2
0.80,climb,97.94,252.06,1.000,1,1892.5,365.5,482.0,-3633.0,0.00,-0.01,90,92,-1,0.0,0.0,-0.2,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,85,-1,1,25,28.6,0.15,1.000,1.000,7.15,0,26,0,176.6,359.9,181.3,93.4,0.00,0,-1.5,0.4
0.90,climb,99.05,250.95,1.000,1,1892.5,365.5,482.0,-3633.0,0.09,-0.04,90,92,-1,0.0,0.0,-0.4,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,-0.01,85,-1,1,28,38.2,-0.02,1.000,1.000,10.32,0,26,0,176.6,359.9,181.3,93.4,0.00,0,-1.2,-0.1
