t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav4,nav5,nav7,trihdg,trires,aimq
0.00,climb,70.50,279.50,1.000,1,0.5,0.5,1892.0,-9635.0,0.00,0.00,270,270,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,0,-0.0,0.00,1.000,1.000,0.00,0,0,0,0.0,195.9,180.0,270.0,0.00,0
0.75,climb,72.16,277.84,1.000,1,0.5,0.5,1892.0,-9635.0,-0.00,-0.00,270,270,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,0,-0.0,0.00,1.000,1.000,4.53,0,0,0,0.0,269.7,180.0,270.0,0.00,0
1.95,climb,98.96,251.04,1.000,1,0.5,0.5,1892.0,-9635.0,-0.03,-0.10,270,270,-1,0.0,0.0,-0.1,0.3,0.01,-0.00,0.00,0.00,0.00,0.00,0.03,0.08,100,-1,1,0,0.0,0.00,1.000,1.000,35.25,0,30,0,0.0,270.0,180.2,270.0,0.00,0
3.15,climb,157.68,192.32,0.346,1,0.4,0.1,1892.1,-9634.7,-0.12,-0.40,270,270,-1,0.0,0.0,-0.1,0.6,0.01,0.00,0.00,0.00,0.00,0.00,0.12,0.38,100,-1,0,0,0.0,0.00,0.346,0.350,55.47,0,30,0,0.0,270.1,180.6,270.0,0.00,0
4.35,climb,219.52,130.48,0.223,1,0.3,-0.4,1892.2,-9634.2,-0.08,-0.44,270,270,-1,0.0,0.0,0.1,0.2,-0.01,0.00,0.00,0.00,0.00,0.00,0.09,0.44,100,-1,0,0,0.0,0.00,0.223,0.226,47.42,0,30,0,0.0,270.0,180.4,270.0,0.00,0
5.55,climb,269.63,80.37,0.202,1,0.2,-0.8,1892.3,-9633.7,-0.04,-0.34,270,270,-1,0.0,0.0,-0.0,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,0.04,0.34,100,-1,0,0,0.0,0.00,0.202,0.210,37.22,0,30,0,0.0,89.8,179.9,270.0,0.00,0
6.75,climb,307.78,42.22,0.000,1,0.1,-1.2,1892.4,-9633.3,-0.04,-0.29,270,270,-1,0.0,0.0,-0.0,0.2,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.29,100,-1,1,0,-0.0,0.00,0.000,0.000,25.74,0,30,0,0.0,270.2,180.1,270.0,0.00,0
7.95,climb,328.12,21.88,0.179,1,0.1,-1.5,1892.4,-9633.0,-0.04,-0.26,270,270,-1,0.0,0.0,0.0,0.8,0.02,0.00,0.00,0.00,0.00,0.00,0.04,0.26,100,-1,0,0,-0.0,0.00,0.179,0.186,10.86,0,30,0,0.0,270.0,180.7,270.0,0.00,0
8.35,cruise,331.34,18.66,0.301,1,0.1,-1.7,1892.4,-9632.9,-0.04,-0.29,270,270,-1,4.0,4.0,0.0,1.0,-0.03,-0.05,0.00,0.00,0.00,0.00,0.04,0.28,100,-1,0,0,-0.0,0.00,0.301,0.325,7.99,0,30,0,0.0,270.0,180.8,270.0,0.00,0
9.15,cruise,336.74,13.26,0.268,1,-0.0,-1.9,1892.5,-9632.7,-0.10,-0.15,270,270,-1,8.4,36.0,2.2,5.1,-0.14,0.03,0.00,0.00,0.00,0.00,0.12,0.17,100,-1,0,-0,0.8,-0.02,0.268,0.313,6.25,0,30,0,359.7,267.1,185.1,270.3,0.00,1
10.35,cruise,341.87,8.13,0.350,1,0.4,-3.4,1892.2,-9631.4,0.91,-3.48,273,272,-1,10.1,42.4,6.9,28.9,-0.00,0.00,0.65,0.00,0.00,0.00,-0.61,2.97,100,-1,0,-2,-0.7,-0.03,0.350,0.352,3.04,0,30,0,357.8,265.9,208.7,272.0,0.00,1
11.55,cruise,344.37,5.63,0.437,1,2.6,-12.6,1890.2,-9623.1,2.69,-12.17,281,273,-1,13.5,47.5,12.0,44.1,0.03,0.01,1.00,0.00,0.00,0.00,-0.37,11.51,100,-1,0,-2,-1.0,-0.02,0.437,0.453,1.85,0,30,0,356.9,266.8,223.8,272.2,0.00,1
12.75,cruise,345.91,4.09,0.540,1,7.2,-35.3,1885.8,-9601.8,5.09,-25.64,292,273,-1,20.3,53.2,19.5,53.1,-0.02,0.01,1.00,0.00,0.00,0.00,4.61,24.46,100,-1,0,-1,-3.3,0.05,0.540,0.557,1.18,0,30,0,358.0,268.5,232.8,271.2,0.00,1
13.95,cruise,347.09,2.91,0.667,1,15.0,-76.5,1878.3,-9562.2,7.68,-43.14,304,271,-1,28.0,60.1,26.6,61.2,0.01,-0.00,1.00,0.00,0.00,0.00,17.02,38.63,100,-1,0,-0,-0.9,0.01,0.667,0.672,1.11,0,30,0,359.3,269.6,241.2,270.4,0.00,1
15.15,cruise,347.90,2.10,0.706,1,25.7,-141.4,1867.8,-9499.4,9.92,-64.17,317,270,-1,36.8,66.9,34.1,67.4,-0.00,-0.00,1.00,0.00,0.00,0.00,39.00,49.70,100,-1,0,-0,-0.7,0.01,0.706,0.710,0.38,0,30,0,359.4,269.7,247.4,270.2,0.00,1
16.35,cruise,346.62,3.38,0.800,1,38.2,-227.9,1855.5,-9415.1,11.88,-86.00,331,273,-1,36.3,65.5,42.4,72.0,0.01,0.00,1.00,0.00,0.00,0.00,67.60,51.24,100,-1,0,-1,-0.5,-0.01,0.800,0.813,-1.93,0,30,0,356.7,268.9,251.7,271.1,0.00,1
