t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,68.50,281.50,0.378,1,2636.2,-3431.4,-1666.7,3940.9,0.00,0.00,228,228,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-2,0.0,-0.03,0.378,0.378,0.00,0,0,0,41.2,180.0,180.0,228.8,0.00,0,0.0,0.0
0.10,climb,68.50,281.50,0.643,1,2636.2,-3431.4,-1666.7,3940.9,0.00,0.00,228,228,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-5,0.0,-0.09,0.643,0.643,0.00,0,0,0,41.2,180.0,180.0,228.8,0.00,0,0.0,0.0
0.20,climb,68.50,281.50,0.918,1,2636.2,-3431.4,-1666.7,3940.9,0.00,0.00,228,228,-1,0.0,0.0,-0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-8,0.0,-0.15,0.919,0.919,0.00,0,0,0,41.2,180.0,180.0,228.8,0.00,0,0.0,0.4
0.30,climb,68.50,281.50,1.000,1,2636.2,-3431.4,-1666.7,3940.9,0.00,0.00,228,228,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-10,-0.4,-0.21,1.000,1.000,0.00,0,0,0,41.2,180.0,180.0,228.8,0.00,0,0.5,-0.1
0.40,climb,68.54,281.46,1.000,1,2636.2,-3431.4,-1666.7,3940.9,0.00,0.00,228,228,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-13,-0.4,-0.26,1.000,1.000,0.18,0,0,0,41.3,180.0,180.0,228.7,0.00,0,0.5,-0.1
0.50,climb,68.70,281.30,1.000,1,2636.2,-3431.4,-1666.7,3940.9,0.00,0.00,228,228,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-16,-5.5,-0.29,1.000,1.000,1.19,0,0,0,41.3,180.0,180.0,228.7,0.00,0,-0.3,0.1
0.60,climb,69.09,280.91,1.000,1,2636.2,-3431.4,-1666.7,3940.9,0.00,0.00,228,228,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-19,-11.4,-0.28,1.000,1.000,3.24,0,0,0,41.3,180.0,180.0,228.7,0.00,0,-0.8,0.2
0.70,climb,69.79,280.21,1.000,1,2636.2,-3431.4,-1666.7,3940.9,0.00,0.00,228,228,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-22,-20.3,-0.22,1.000,1.000,6.13,0,0,0,41.3,180.0,180.0,228.7,0.00,0,-1.2,0.2
0.80,climb,70.80,279.20,1.000,1,2636.2,-3431.4,-1666.7,3940.9,0.00,0.00,227,223,-1,0.0,0.0,-0.2,-0.0,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,96,-1,1,-25,-20.3,-0.09,1.000,1.000,9.31,0,26,0,45.8,179.7,179.7,224.2,0.00,0,-1.2,0.2
0.90,climb,72.12,277.88,1.000,1,2636.2,-3431.4,-1666.7,3940.9,0.00,0.18,226,223,-1,0.0,0.0,-0.4,0.0,0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,96,-1,1,-27,-35.8,0.04,1.000,1.000,12.46,0,26,0,45.8,179.7,179.7,224.2,0.00,0,-1.0,-0.6
