t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,96.50,253.50,1.000,1,1892.5,365.5,3026.0,-4188.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.03,1.000,1.000,0.00,0,0,0,180.0,0.0,180.0,90.0,0.00,0,0.0,0.0
0.10,climb,96.50,253.50,1.000,1,1892.5,365.5,3026.0,-4188.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,4,0.0,0.09,1.000,1.000,0.00,0,0,0,180.0,0.0,180.0,90.0,0.00,0,-0.0,-0.0
0.20,climb,96.50,253.50,1.000,1,1892.5,365.5,3026.0,-4188.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,7,0.0,0.15,1.000,1.000,0.00,0,0,0,180.0,0.0,180.0,90.0,0.00,0,-0.0,0.0
0.30,climb,96.50,253.50,1.000,1,1892.5,365.5,3026.0,-4188.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,10,0.0,0.21,1.000,1.000,0.00,0,0,0,180.0,0.0,180.0,90.0,0.00,0,-0.0,0.0
0.40,climb,96.50,253.50,1.000,1,1892.5,365.5,3026.0,-4188.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,13,0.0,0.27,1.000,1.000,0.00,0,0,0,180.0,0.0,180.0,90.0,0.00,0,-0.0,0.0
0.50,climb,96.54,253.46,1.000,1,1892.5,365.5,3026.0,-4188.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-1,-1,1,16,3.5,0.33,1.000,1.000,0.43,0,0,0,180.0,0.0,180.0,90.0,0.00,0,-0.3,0.1
0.60,climb,96.81,253.19,1.000,1,1892.5,365.5,3026.0,-4188.0,0.00,0.00,89,89,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,19,9.7,0.32,1.000,1.000,2.00,0,0,0,180.0,0.0,180.0,90.0,0.00,0,-0.8,0.3
0.70,climb,97.38,252.62,1.000,1,1892.5,365.5,3026.0,-4188.0,0.00,0.00,89,89,-1,0.0,0.0,-0.1,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,22,9.7,0.26,1.000,1.000,4.90,0,0,0,180.0,0.0,180.0,90.0,0.00,0,-0.8,0.3
0.80,climb,98.27,251.73,1.000,1,1892.5,365.5,3026.0,-4188.0,0.00,0.00,90,93,-1,0.0,0.0,-0.3,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,100,-1,1,25,19.2,0.11,1.000,1.000,8.10,0,26,0,176.1,359.9,181.4,93.9,0.00,0,-1.3,0.5
0.90,climb,99.48,250.52,1.000,1,1892.5,365.5,3026.0,-4188.0,0.09,-0.02,90,93,-1,0.0,0.0,-0.4,-0.2,-0.02,-0.03,0.00,0.00,0.00,0.00,0.04,-0.00,100,-1,1,27,38.4,-0.05,1.000,1.000,11.26,0,26,0,176.1,359.9,181.4,93.9,0.00,0,-1.4,0.6
1.00,climb,101.00,249.00,1.000,1,1892.5,365.5,3026.0,-4188.0,0.09,-0.02,91,93,-1,0.0,0.0,-0.6,-0.3,-0.02,-0.02,0.00,0.00,0.00,0.00,0.09,-0.02,100,-1,1,30,38.4,-0.17,1.000,1.000,14.38,0,26,0,176.1,359.9,181.4,93.9,0.00,0,-1.4,0.6
1.10,climb,102.82,247.18,1.000,1,1892.6,365.5,3026.0,-4188.0,0.31,-0.07,91,93,-1,0.0,0.0,-0.6,-0.3,-0.01,-0.01,0.00,0.00,0.00,0.00,0.18,-0.05,100,-1,1,33,44.1,-0.22,1.000,1.000,17.48,0,26,0,176.1,359.9,181.4,93.9,0.00,0,0.2,-0.2
1.20,climb,104.95,245.05,1.000,1,1892.6,365.5,3025.9,-4188.0,0.40,-0.08,94,109,-1,0.0,0.0,-0.5,-0.3,-0.01,0.00,0.00,0.00,0.00,0.00,0.30,-0.08,100,-1,1,33,40.3,-0.22,1.000,1.000,20.55,0,26,0,160.1,359.8,180.4,109.9,0.00,0,0.6,-0.3
1.30,climb,107.39,242.61,1.000,1,1892.7,365.5,3025.9,-4188.0,0.44,-0.09,96,109,-1,0.0,0.0,-0.4,-0.3,-0.00,0.01,0.00,0.00,0.00,0.00,0.39,-0.12,100,-1,1,34,33.8,-0.13,1.000,1.000,23.59,0,26,0,160.1,359.8,180.4,109.9,0.00,0,0.6,-0.4
1.40,climb,110.12,239.88,1.000,1,1892.7,365.5,3025.8,-4188.0,0.53,-0.09,98,109,-1,0.0,0.0,-0.3,-0.3,-0.00,0.01,0.00,0.00,0.00,0.00,0.42,-0.15,100,-1,1,35,26.0,0.02,1.000,1.000,26.60,0,26,0,160.1,359.8,180.4,109.9,0.00,0,0.5,-0.4
1.50,climb,113.15,236.85,1.000,1,1892.8,365.4,3025.8,-4188.0,0.53,-0.09,99,109,-1,0.0,0.0,-0.3,-0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.51,-0.17,100,-1,1,36,18.3,0.20,1.000,1.000,29.57,0,26,0,160.1,359.8,180.4,109.9,0.00,0,0.1,-0.3
1.60,climb,116.48,233.52,1.000,1,1892.8,365.4,3025.7,-4187.9,0.53,-0.11,103,120,-1,0.0,0.0,-0.3,-0.3,0.00,-0.00,0.00,0.00,0.00,0.00,0.50,-0.20,100,-1,1,36,13.7,0.35,1.000,1.000,32.52,0,26,0,149.0,359.9,180.2,121.0,0.00,0,-0.2,-0.2
1.70,climb,120.09,229.91,1.000,1,1892.8,365.4,3025.7,-4187.9,0.53,-0.11,105,120,-1,0.0,0.0,-0.3,-0.3,-0.00,-0.01,0.00,0.00,0.00,0.00,0.48,-0.24,100,-1,1,36,13.7,0.45,1.000,1.000,35.43,0,26,0,149.0,359.9,180.2,121.0,0.00,0,-0.2,-0.2
1.80,climb,123.99,226.01,1.000,1,1892.9,365.4,3025.6,-4187.9,0.62,-0.11,107,120,-1,0.0,0.0,-0.4,-0.3,-0.00,-0.02,0.00,0.00,0.00,0.00,0.47,-0.26,100,-1,1,37,19.9,0.46,1.000,1.000,38.32,0,26,0,149.0,359.9,180.2,121.0,0.00,0,-1.1,0.0
1.90,climb,128.18,221.82,1.000,1,1892.9,365.4,3025.6,-4187.9,0.62,-0.11,109,120,-1,0.0,0.0,-0.5,-0.3,-0.01,-0.02,0.00,0.00,0.00,0.00,0.54,-0.31,100,-1,1,38,19.9,0.36,1.000,1.000,41.17,0,26,0,149.0,359.9,180.2,121.0,0.00,0,-1.1,0.0
2.00,climb,132.65,217.35,1.000,1,1893.0,365.4,3025.5,-4187.9,0.62,-0.09,112,128,-1,0.0,0.0,-0.6,-0.3,-0.01,-0.03,0.00,0.00,0.00,0.00,0.54,-0.31,100,-1,1,38,29.0,0.18,1.000,1.000,43.99,0,26,0,140.7,0.2,179.8,129.3,0.00,0,-1.4,0.2
2.10,climb,137.40,212.60,0.905,1,1893.1,365.4,3025.4,-4187.9,0.79,-0.03,115,128,-1,0.0,0.0,-0.7,-0.4,-0.02,-0.02,0.00,0.00,0.00,0.00,0.61,-0.35,100,-1,0,39,51.3,-0.03,0.905,0.921,46.77,0,26,0,140.7,0.2,179.8,129.3,0.00,0,-1.3,0.5
2.20,climb,142.42,207.58,0.749,1,1893.1,365.4,3025.4,-4187.9,0.79,-0.03,117,128,-1,0.0,0.0,-0.8,-0.6,-0.02,-0.02,0.00,0.00,0.00,0.00,0.69,-0.39,100,-1,0,40,51.3,-0.23,0.751,0.770,49.53,0,26,0,140.7,0.2,179.8,129.3,0.00,0,-1.3,0.5
2.30,climb,147.68,202.32,0.596,1,1893.2,365.4,3025.3,-4187.9,0.83,0.00,118,128,-1,0.0,0.0,-0.9,-0.7,-0.03,-0.02,0.00,0.00,0.00,0.00,0.73,-0.40,100,-1,0,41,58.6,-0.37,0.601,0.622,52.04,0,26,0,140.7,0.2,179.8,129.3,0.00,0,-1.5,0.6
2.40,climb,153.12,196.88,0.467,1,1893.4,365.4,3025.2,-4187.9,0.97,0.07,123,150,-1,0.0,0.0,-0.9,-0.8,-0.02,-0.02,0.00,0.00,0.00,0.00,0.75,-0.46,100,-1,0,39,55.6,-0.41,0.472,0.488,53.93,0,26,0,119.2,0.9,179.5,150.8,0.00,0,-0.9,-0.9
2.50,climb,158.65,191.35,0.367,1,1893.5,365.4,3025.1,-4187.9,1.05,0.09,127,150,-1,0.0,0.0,-0.9,-0.8,-0.00,-0.01,0.00,0.00,0.00,0.00,0.81,-0.53,100,-1,0,38,48.5,-0.35,0.370,0.375,55.16,0,26,0,119.2,0.9,179.5,150.8,0.00,0,-0.7,-2.2
2.60,climb,164.23,185.77,0.293,1,1893.5,365.4,3025.0,-4187.9,1.05,0.09,131,150,-1,0.0,0.0,-1.0,-0.6,0.02,-0.01,0.00,0.00,0.00,0.00,0.86,-0.62,100,-1,0,38,48.5,-0.21,0.294,0.306,55.77,0,26,0,119.2,0.9,179.5,150.8,0.00,0,-0.7,-2.2
2.70,climb,169.81,180.19,0.243,1,1893.6,365.4,3024.9,-4187.9,1.05,0.11,134,150,-1,0.0,0.0,-1.0,-0.4,0.03,-0.01,0.00,0.00,0.00,0.00,0.84,-0.65,100,-1,0,38,40.9,-0.06,0.243,0.261,55.87,0,26,0,119.2,0.9,179.5,150.8,0.00,0,-0.5,-3.0
2.80,climb,175.35,174.65,0.212,1,1893.8,365.5,3024.8,-4187.9,1.05,0.18,139,167,-1,0.0,0.0,-1.0,-0.1,0.04,-0.02,0.00,0.00,0.00,0.00,0.80,-0.70,100,-1,0,36,29.5,0.03,0.212,0.234,55.54,0,26,0,101.9,4.7,179.0,168.1,0.00,0,-0.6,-3.2
2.90,climb,180.82,169.18,0.195,1,1893.9,365.5,3024.7,-4188.0,1.05,0.21,143,167,-1,0.0,0.0,-1.1,0.2,0.04,-0.02,0.00,0.00,0.00,0.00,0.77,-0.74,100,-1,0,34,26.0,0.10,0.195,0.220,54.93,0,26,0,101.9,4.7,179.0,168.1,0.00,0,-0.3,-2.8
3.00,climb,186.20,163.80,0.188,1,1893.9,365.5,3024.6,-4188.0,1.05,0.21,147,167,-1,0.0,0.0,-1.1,0.4,0.04,-0.02,0.00,0.00,0.00,0.00,0.75,-0.77,100,-1,0,34,26.0,0.15,0.188,0.209,54.12,0,26,0,101.9,4.7,179.0,168.1,0.00,0,-0.3,-2.8
3.10,climb,191.50,158.50,0.184,1,1894.1,365.5,3024.5,-4188.0,0.97,0.27,150,167,-1,0.0,0.0,-1.1,0.5,0.02,-0.01,0.00,0.00,0.00,0.00,0.69,-0.72,100,-1,0,33,22.0,0.20,0.184,0.197,53.25,0,26,0,101.9,4.7,179.0,168.1,0.00,0,0.4,-0.6
3.20,climb,196.71,153.29,0.183,1,1894.1,365.5,3024.4,-4188.0,0.97,0.27,154,177,-1,0.0,0.0,-1.1,0.5,0.00,-0.01,0.00,0.00,0.00,0.00,0.67,-0.75,100,-1,0,32,22.0,0.21,0.184,0.187,52.32,0,26,0,92.1,27.9,178.9,177.9,0.00,0,0.4,-0.6
3.30,climb,201.82,148.18,0.186,1,1894.2,365.6,3024.3,-4188.1,0.88,0.30,158,177,-1,0.0,0.0,-1.0,0.4,-0.00,-0.00,0.00,0.00,0.00,0.00,0.61,-0.70,100,-1,0,32,20.9,0.22,0.187,0.189,51.32,0,26,0,92.1,27.9,178.9,177.9,0.00,0,0.8,0.1
3.40,climb,206.82,143.18,0.191,1,1894.4,365.6,3024.2,-4188.1,0.83,0.33,161,177,-1,0.0,0.0,-0.9,0.3,-0.01,-0.00,0.00,0.00,0.00,0.00,0.58,-0.73,100,-1,0,32,19.7,0.23,0.192,0.195,50.29,0,26,0,92.1,27.9,178.9,177.9,0.00,0,0.8,0.4
3.50,climb,211.73,138.27,0.196,1,1894.5,365.6,3024.1,-4188.1,0.79,0.34,163,177,-1,0.0,0.0,-0.9,0.3,-0.01,-0.00,0.00,0.00,0.00,0.00,0.55,-0.71,100,-1,0,32,19.5,0.25,0.197,0.201,49.27,0,26,0,92.1,27.9,178.9,177.9,0.00,0,0.7,0.5
3.60,climb,216.53,133.47,0.201,1,1894.5,365.6,3024.0,-4188.1,0.79,0.34,167,185,-1,0.0,0.0,-0.8,0.2,-0.01,-0.00,0.00,0.00,0.00,0.00,0.51,-0.69,100,-1,0,32,19.5,0.25,0.202,0.207,48.27,0,26,0,84.1,172.3,179.2,185.9,0.00,0,0.7,0.5
3.70,climb,221.24,128.76,0.204,1,1894.6,365.7,3024.0,-4188.2,0.79,0.37,170,185,-1,0.0,0.0,-0.8,0.2,-0.00,0.00,0.00,0.00,0.00,0.00,0.49,-0.71,100,-1,0,32,19.6,0.25,0.204,0.205,47.32,0,26,0,84.1,172.3,179.2,185.9,0.00,0,0.8,-0.9
3.80,climb,225.87,124.13,0.201,1,1894.7,365.8,3023.9,-4188.2,0.70,0.37,172,185,-1,0.0,0.0,-0.7,0.3,0.02,0.00,0.00,0.00,0.00,0.00,0.48,-0.73,100,-1,0,33,20.0,0.26,0.201,0.208,46.48,0,26,0,84.1,172.3,179.2,185.9,0.00,0,0.7,-1.5
3.90,climb,230.42,119.58,0.194,1,1894.7,365.8,3023.8,-4188.3,0.70,0.37,174,185,-1,0.0,0.0,-0.6,0.4,0.02,0.00,0.00,0.00,0.00,0.00,0.45,-0.66,100,-1,0,34,20.0,0.27,0.195,0.204,45.71,0,26,0,84.1,172.3,179.2,185.9,0.00,0,0.7,-1.5
4.00,climb,234.89,115.11,0.186,1,1894.8,365.8,3023.7,-4188.3,0.70,0.37,177,193,-1,0.0,0.0,-0.6,0.4,0.01,-0.00,0.00,0.00,0.00,0.00,0.41,-0.68,100,-1,0,34,20.5,0.26,0.186,0.191,44.97,0,26,0,76.1,178.1,179.5,193.9,0.00,0,0.6,-1.0
4.10,climb,239.29,110.71,0.181,1,1894.8,365.8,3023.7,-4188.3,0.70,0.37,179,193,-1,0.0,0.0,-0.6,0.3,-0.01,-0.01,0.00,0.00,0.00,0.00,0.38,-0.70,100,-1,0,34,20.9,0.26,0.182,0.188,44.16,0,26,0,76.1,178.1,179.5,193.9,0.00,0,0.4,0.4
4.20,climb,243.60,106.40,0.179,1,1894.9,365.9,3023.6,-4188.4,0.62,0.37,181,193,-1,0.0,0.0,-0.6,0.2,-0.02,-0.01,0.00,0.00,0.00,0.00,0.36,-0.62,100,-1,0,35,21.5,0.27,0.179,0.191,43.29,0,26,0,76.1,178.1,179.5,193.9,0.00,0,0.1,1.5
4.30,climb,247.82,102.18,0.181,1,1894.9,365.9,3023.6,-4188.4,0.62,0.37,183,193,-1,0.0,0.0,-0.5,0.0,-0.03,-0.01,0.00,0.00,0.00,0.00,0.34,-0.64,100,-1,0,36,21.5,0.29,0.182,0.195,42.35,0,26,0,76.1,178.1,179.5,193.9,0.00,0,0.1,1.5
4.40,climb,251.94,98.06,0.182,1,1895.1,366.0,3023.5,-4188.4,0.62,0.37,186,201,-1,0.0,0.0,-0.5,-0.2,-0.03,-0.01,0.00,0.00,0.00,0.00,0.31,-0.65,100,-1,0,36,22.2,0.29,0.183,0.197,41.42,0,26,0,67.5,178.5,179.4,202.5,0.00,0,0.1,1.5
4.50,climb,255.97,94.03,0.184,1,1895.1,366.0,3023.4,-4188.5,0.62,0.37,188,201,-1,0.0,0.0,-0.5,-0.3,-0.03,-0.00,0.00,0.00,0.00,0.00,0.28,-0.66,100,-1,0,37,22.2,0.30,0.185,0.198,40.50,0,26,0,67.5,178.5,179.4,202.5,0.00,0,0.1,1.5
4.60,climb,259.90,90.10,0.185,1,1895.1,366.0,3023.4,-4188.5,0.57,0.40,190,201,-1,0.0,0.0,-0.5,-0.5,-0.03,-0.00,0.00,0.00,0.00,0.00,0.29,-0.63,100,-1,0,38,22.7,0.31,0.186,0.198,39.58,0,26,0,67.5,178.5,179.4,202.5,0.00,0,0.3,1.4
