t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,96.50,253.50,1.000,1,1892.5,365.5,-2566.0,2458.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.03,1.000,1.000,0.00,0,0,0,180.0,0.0,0.0,90.0,0.00,0,-0.0,-0.0
0.10,climb,96.50,253.50,1.000,1,1892.5,365.5,-2566.0,2458.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.04,1.000,1.000,0.00,0,0,0,180.0,0.0,0.0,90.0,0.00,0,-0.0,-0.0
0.20,climb,96.50,253.50,1.000,1,1892.5,365.5,-2566.0,2458.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.04,1.000,1.000,0.00,0,0,0,180.0,0.0,0.0,90.0,0.00,0,-0.0,-0.0
0.25,climb,96.50,253.50,1.000,1,1892.5,365.5,-2566.0,2458.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.04,1.000,1.000,0.00,0,0,0,180.0,0.0,0.0,90.0,0.00,0,-0.0,-0.0
0.30,climb,96.50,253.50,1.000,1,1892.5,365.5,-2566.0,2458.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.04,1.000,1.000,0.00,0,0,0,180.0,0.0,0.0,90.0,0.00,0,-0.0,0.0
0.35,climb,96.50,253.50,1.000,1,1892.5,365.5,-2566.0,2458.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.04,1.000,1.000,0.00,0,0,0,180.0,0.0,0.0,90.0,0.00,0,-0.0,0.0
0.40,climb,96.53,253.47,1.000,1,1892.5,365.5,-2566.0,2458.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-1,-1,1,2,0.0,0.04,1.000,1.000,0.43,0,0,0,180.0,0.0,0.0,90.0,0.00,0,-0.4,0.1
0.50,climb,96.70,253.30,1.000,1,1892.5,365.5,-2566.0,2458.0,0.00,0.00,89,89,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.04,1.000,1.000,1.24,0,0,0,180.0,0.0,0.0,90.0,0.00,0,0.0,0.0
0.60,climb,97.40,252.60,1.000,1,1892.5,365.5,-2566.0,2458.0,0.00,0.00,89,89,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.04,1.000,1.000,3.29,0,0,0,180.0,360.0,270.0,90.0,0.00,0,0.0,0.0
0.70,climb,97.79,252.21,1.000,1,1892.5,365.5,-2566.0,2458.0,0.00,0.00,89,89,-1,0.0,0.0,-0.2,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,2,0.0,0.04,1.000,1.000,6.18,0,0,0,180.0,360.0,270.0,90.0,0.00,0,-1.6,0.5
0.80,climb,98.81,251.19,1.000,1,1892.5,365.5,-2566.0,2458.0,0.00,0.00,89,89,-1,0.0,0.0,-0.4,-0.1,-0.01,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,1,2,0.0,0.04,1.000,1.000,9.37,0,26,0,180.0,360.0,270.0,90.0,0.00,0,-1.6,0.5
0.90,climb,100.14,249.86,1.000,1,1892.5,365.5,-2566.0,2458.0,0.13,-0.02,89,89,-1,0.0,0.0,-0.6,-0.2,-0.01,-0.04,0.00,0.00,0.00,0.00,0.09,-0.02,99,-1,1,2,1.0,0.04,1.000,1.000,12.53,0,26,0,180.0,360.0,270.0,90.0,0.00,0,-1.7,0.8
1.00,climb,101.79,248.21,1.000,1,1892.5,365.5,-2566.0,2458.0,0.13,-0.02,89,89,-1,0.0,0.0,-0.8,-0.3,-0.01,-0.03,0.00,0.00,0.00,0.00,0.13,-0.02,99,-1,1,2,1.0,0.02,1.000,1.000,15.66,0,26,0,179.8,359.7,238.3,90.2,0.00,0,-1.7,0.8
1.10,climb,103.74,246.26,1.000,1,1892.6,365.5,-2566.1,2458.0,0.26,-0.04,89,89,-1,0.0,0.0,-0.8,-0.4,-0.02,-0.02,0.00,0.00,0.00,0.00,0.26,-0.04,99,-1,1,2,2.1,0.00,1.000,1.000,18.75,0,26,0,179.8,359.7,238.3,90.2,0.00,0,-0.9,0.9
1.20,climb,106.00,244.00,1.000,1,1892.6,365.5,-2566.1,2458.0,0.48,-0.11,89,89,-1,0.0,0.0,-0.8,-0.5,-0.02,-0.00,0.00,0.00,0.00,0.00,0.35,-0.06,99,-1,1,2,4.8,-0.03,1.000,1.000,21.80,0,26,0,179.8,359.7,238.3,90.2,0.00,0,1.1,1.2
1.30,climb,108.56,241.44,1.000,1,1892.7,365.5,-2566.1,2458.0,0.57,-0.14,89,89,-1,0.0,0.0,-0.7,-0.6,-0.03,0.01,0.00,0.00,0.00,0.00,0.49,-0.10,99,-1,1,2,5.6,-0.05,1.000,1.000,24.83,0,26,0,179.8,359.7,238.3,90.2,0.00,0,1.6,1.3
1.40,climb,111.42,238.58,1.000,1,1892.7,365.5,-2566.2,2458.0,0.57,-0.14,89,91,-1,0.0,0.0,-0.5,-0.8,-0.03,0.02,0.00,0.00,0.00,0.00,0.57,-0.14,99,-1,1,2,5.6,-0.07,1.000,1.000,27.82,0,26,0,178.1,359.3,201.3,91.9,0.00,0,1.6,1.3
