t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc
0.00,climb,68.50,181.50,0.378,1,198.5,400.9,-198.5,-400.9,0.00,0.00,190,190,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00,0.378,0.378,0.00,0
0.10,climb,68.50,181.50,0.643,1,198.5,400.9,-198.5,-400.9,0.00,0.00,190,190,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,0.0,-0.00,0.643,0.643,0.00,0
0.20,climb,68.50,181.50,0.918,1,198.5,400.9,-198.5,-400.9,0.00,0.00,190,190,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.918,0.918,0.00,0
0.30,climb,68.50,181.50,1.000,1,198.5,400.9,-198.5,-400.9,0.00,0.00,190,190,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-1,-1,1,0,0.0,-0.01,1.000,1.000,0.00,0
0.40,climb,68.55,181.45,1.000,1,198.5,400.9,-198.5,-400.9,0.00,0.00,190,190,-1,0.0,0.0,-0.0,0.0,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,53,-1,1,-0,0.0,-0.00,1.000,1.000,0.26,0
0.50,climb,68.77,181.23,1.000,1,198.5,400.9,-198.5,-400.9,0.00,0.00,190,190,-1,0.0,0.0,-0.0,0.2,0.02,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,53,-1,1,-0,0.0,-0.00,1.000,1.000,1.57,0
0.60,climb,69.43,180.57,1.000,1,198.5,400.9,-198.5,-400.9,-0.04,0.00,190,190,-1,0.0,0.0,-0.1,0.4,0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,53,-1,1,-0,0.0,-0.00,1.000,1.000,4.06,0
0.70,climb,70.10,179.90,1.000,1,198.5,400.9,-198.5,-400.9,-0.04,0.00,190,190,-1,0.0,0.0,-0.1,0.7,0.05,-0.01,0.00,0.00,0.00,0.00,0.01,0.04,53,-1,1,-0,0.0,-0.00,1.000,1.000,7.51,0
0.80,climb,71.69,178.31,1.000,1,198.5,400.9,-198.5,-400.9,-0.26,-0.02,190,190,-1,0.0,0.0,-0.2,1.0,0.06,-0.01,0.00,0.00,0.00,0.00,0.02,0.10,53,-1,1,-0,-0.0,-0.00,1.000,1.000,11.30,0
0.90,climb,73.38,176.62,1.000,1,198.5,400.9,-198.5,-400.9,-0.26,-0.02,190,190,-1,0.0,0.0,-0.3,1.3,0.05,-0.02,0.00,0.00,0.00,0.00,0.02,0.26,53,-1,1,-0,-0.0,0.00,1.000,1.000,15.04,0
